Company Name,High,Low,Last Price,Prv Close,Change,Day Volume,FiveDay AvgVolume,TenDayAvgVolume,ThirtyDayAvgVolume,Rating,Api
United Bank,43.70,42.75,43.35,43.15,0.20,224940,439540,666483,500277,2 Star,http://www.moneycontrol.com/india/stockpricequote/banks-publicsector/unitedbankindia/UBO
Heidelberg Cem,87.25,85.55,87.10,86.70,0.40,237046,347739,676137,656941,2 Star,http://www.moneycontrol.com/india/stockpricequote/cement-major/heidelbergcementindia/HCI02
Shipping Corp,67.25,64.40,65.85,65.55,0.30,1659498,1342090,1049162,668826,5 Star,http://www.moneycontrol.com/india/stockpricequote/shipping/shippingcorporationindia/SCI
Empee Distiller,36.60,35.60,36,35.85,0.15,6467,4953,7545,7414,2 Star,http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/empeedistilleries/ED
Vindhya Telelin,503,490.05,492.85,490.75,2.10,1849,3508,10922,5131,2 Star,http://www.moneycontrol.com/india/stockpricequote/cables-telephone/vindhyatelelink/VT03
Kajaria Ceramic,604,594.90,598.95,596.45,2.50,375758,48715,80225,130110,4 Star,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/kajariaceramics/KC06
Nandan Denim,50,46.50,47.45,47.25,0.20,63631,113158,92711,90422,3 Star,http://www.moneycontrol.com/india/stockpricequote/textiles-denim/nandandenim/NE06
NIFTYBEES,853.50,845.21,852.65,849.10,3.55,16631,23208,36357,36212,2 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/goldmansachsniftyexchangetradedscheme/NBE01
Nava Bharat Ven,215.90,206.60,212.95,212.05,0.90,19145,36622,31071,15737,3 Star,http://www.moneycontrol.com/india/stockpricequote/diversified/navabharatventures/NBV
Karur Vysya,539.40,530.20,533.05,530.85,2.20,97089,127042,134451,101837,2 Star,http://www.moneycontrol.com/india/stockpricequote/banks-privatesector/karurvysyabank/KVB
Navneet,99,96.65,98.50,98.10,0.40,32011,99711,113691,112935,2 Star,http://www.moneycontrol.com/india/stockpricequote/printingstationery/navneeteducation/NP01
Tata Steel,482.95,475.10,480.10,478.15,1.95,2378667,5639180,4971938,5005638,3 Star,http://www.moneycontrol.com/india/stockpricequote/steel-large/tatasteel/TIS
Godrej Consumer,990,973.95,982.60,978.70,3.90,128903,148702,167514,137987,2 Star,http://www.moneycontrol.com/india/stockpricequote/personalcare/godrejconsumerproducts/GCP
Zuari Agro Chem,293.95,285.10,290.60,289.50,1.10,22750,58146,169763,79860,2 Star,http://www.moneycontrol.com/india/stockpricequote/fertilisers/zuariagrochemicals/ZAC
Ruchira Papers,25.95,24.60,24.85,24.75,0.10,55921,18538,23964,11796,4 Star,http://www.moneycontrol.com/india/stockpricequote/paper/ruchirapapers/RP25
Bharti Infratel,303,295,300.10,298.95,1.15,278616,949260,1379913,996172,2 Star,http://www.moneycontrol.com/india/stockpricequote/telecommunications-equipment/bhartiinfratel/BI14
Wyeth,1120,1107.90,1116.25,1112.30,3.95,3575,8661,10662,8549,2 Star,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/wyeth/W11
Intl Paper APPM,305,294.45,297.25,296.15,1.10,51332,56954,47500,52667,3 Star,http://www.moneycontrol.com/india/stockpricequote/paper/internationalpaperappm/APP
