Company Name,High,Low,Last Price,Prv Close,Change,Day Volume,FiveDay AvgVolume,TenDayAvgVolume,ThirtyDayAvgVolume,Rating,Api
Shemaroo Ent,174.50,164,172.75,165.10,7.65,123998,79776,68580,0,5 Star,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/shemarooentertainment/SE03
Simplex Infra,314.80,304.80,310.45,296.80,13.65,227634,327544,205029,101777,3 Star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/simplexinfrastructures/SI82
Rel Capital,504,481.60,502.05,480.05,22,5012073,3374836,3517253,2811056,4 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/reliancecapital/RC
Williamson Mago,62.50,58.20,62.30,59.60,2.70,4355,4236,5247,4855,2 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/williamsonmagorcompany/WMC
Indiabulls Real,84.95,79.20,84.40,80.70,3.70,12630137,9050092,10872679,7663885,4 Star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-realestate/indiabullsrealestate/IRE01
Kalindee Rail,116.25,108.10,112.95,108.10,4.85,457707,361648,261981,119556,5 Star,http://www.moneycontrol.com/india/stockpricequote/engineering/kalindeerailnirman(engineers)/KRN
Marico Kaya Ent,810,755,770.25,737.20,33.05,471851,214312,167727,101766,5 Star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/maricokayaenterprises/MKE01
HSIL,403.45,374.80,392,375.35,16.65,241212,45001,99433,85127,4 Star,http://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/hsil/HSI02
Pidilite Ind,434,416.10,432.85,414.55,18.30,793562,306211,255698,194631,5 Star,http://www.moneycontrol.com/india/stockpricequote/chemicals/pidiliteindustries/PI11
Guj Ind Power,90.60,85.05,89.30,85.50,3.80,106645,49718,82637,62730,4 Star,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/gujaratindustriespowerco/GIP
Aegis Logistics,401.90,384,395.75,379.35,16.40,119698,44084,35865,25842,5 Star,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9
Central Bank,77.85,73.25,77.50,74.30,3.20,1047095,870448,778335,558364,5 Star,http://www.moneycontrol.com/india/stockpricequote/banks-publicsector/centralbankindia/CBO01
Sterling Tools,368.90,339.35,365.20,350.15,15.05,5664,5416,19135,7858,2 Star,http://www.moneycontrol.com/india/stockpricequote/fasteners/sterlingtools/ST
ICRA,2749.40,2550.05,2712.60,2600.90,111.70,11843,2960,2163,1743,5 Star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/icra/ICR
NFL,40.40,37.30,39.25,37.65,1.60,1731479,619976,588282,322645,5 Star,http://www.moneycontrol.com/india/stockpricequote/fertilisers/nationalfertilizers/NF06
Tata Motors (D),337.80,319.55,336.80,323.15,13.65,3188228,1358814,2116201,2415770,4 Star,http://www.moneycontrol.com/india/stockpricequote/auto-lcvshcvs/tatamotors(dvr)/TMD
MCX India,879.70,837.30,870.95,835.95,35,779960,263205,374079,463908,4 Star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/multicommodityexchangeindia/MCE
Bank of Baroda,1060,1003.55,1057.50,1014.80,42.70,1175233,1143754,1118081,1120466,5 Star,http://www.moneycontrol.com/india/stockpricequote/banks-publicsector/bankofbaroda/BOB
Finolex Ind,299,285.30,297.10,285.30,11.80,162910,267339,199103,140501,3 Star,http://www.moneycontrol.com/india/stockpricequote/petrochemicals/finolexindustries/FI
Bayer CropScien,2895,2703.10,2822.40,2711.25,111.15,45868,89981,54468,23172,3 Star,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/bayercropscience/BC12
Tata Motors,547.55,520,545.25,523.90,21.35,7083220,3378917,3871926,4600684,4 Star,http://www.moneycontrol.com/india/stockpricequote/auto-lcvshcvs/tatamotors/TM03
Indoco Remedies,315,293,308.15,296.25,11.90,162719,125303,162915,127439,2 Star,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/indocoremedies/IR05
Network 18,57.40,54.60,56.80,54.60,2.20,529708,865821,1154924,749471,2 Star,http://www.moneycontrol.com/india/stockpricequote/finance-general/network18mediainvestments/NMI
Hi-Tech Gears,230,216.70,228.40,219.60,8.80,60237,59526,51449,25701,5 Star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/hi-techgears/HTG
FAG Bearings,3110,2980.05,3095.85,2977.75,118.10,2955,12423,8560,6165,3 Star,http://www.moneycontrol.com/india/stockpricequote/bearings/fagbearingsindia/FAG
Automotive Axle,782.65,746.15,771.90,742.75,29.15,12635,9047,9240,9454,4 Star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/automotiveaxles/AA06
Shriram EPC,39.75,37.65,39.15,37.65,1.50,123998,79776,68580,0,5 Star,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/shriramepc/SE03
Precision Wires,135,125.20,131.70,126.75,4.95,18894,21841,23049,21390,2 Star,http://www.moneycontrol.com/india/stockpricequote/metals-nonferrous/precisionwiresindia/PWI
Future Ret (D),55.80,51.70,55.05,53,2.05,18318,12803,9347,15836,4 Star,http://www.moneycontrol.com/india/stockpricequote/retail/futureretail(india)-b-dvr/PRI
CARE,1380,1330,1361,1310.70,50.30,166398,20206,54906,49809,4 Star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/creditanalysisresearch/CAR
Hanung Toys,21.85,19.85,21.65,20.85,0.80,48069,28607,28930,19986,4 Star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/hanungtoystextiles/HTT
Bharat Rasayan,942,899.90,924.30,890.20,34.10,6080,3278,2224,1031,5 Star,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/bharatrasayan/BR01
Jeypore Sugar,84,84,84,80.95,3.05,20,64,137,137,2 Star,http://www.moneycontrol.com/india/stockpricequote/sugar/jeyporesugarcompany/JSC
Surana Ventures,100,85.10,98.95,95.45,3.50,156514,18093,22794,37379,4 Star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/suranaventures/SV05
8K Miles Soft,645.65,590,624.65,602.45,22.20,185827,198886,128128,98051,3 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/8kmilessoftwareservices/PMS01
Wonderla,309.30,292.50,307,296.15,10.85,297658,236641,409255,362082,2 Star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/wonderlaholidays/WH01
Deccan Cements,430,407,410.05,395.80,14.25,7846,2188,2416,1642,4 Star,http://www.moneycontrol.com/india/stockpricequote/cement-mini/deccancements/DC
ANG Industries,29.50,26.25,29,28,1,50234,13111,14164,27467,4 Star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/angindustries/ANG
Kirloskar Oil,270,258.40,267.70,258.50,9.20,49714,8663,21740,17892,4 Star,http://www.moneycontrol.com/india/stockpricequote/engines/kirloskaroilengines/KOE03
Lloyd Electric,145.45,138.55,144.50,139.55,4.95,218015,327623,299174,259386,3 Star,http://www.moneycontrol.com/india/stockpricequote/consumergoods-whitegoods/lloydelectricengineering/LEE
Alstom T&D,417.50,390.05,415.25,401.10,14.15,278534,502982,319789,198293,3 Star,http://www.moneycontrol.com/india/stockpricequote/power-transmissionequipment/alstomtdindia/ATD
Finolex Cables,258,241,256.65,247.90,8.75,309671,485524,438271,305402,3 Star,http://www.moneycontrol.com/india/stockpricequote/cables-telephone/finolexcables/FC01
Techno Electric,338,318,324.85,313.95,10.90,79365,130349,67556,77930,3 Star,http://www.moneycontrol.com/india/stockpricequote/electricequipment/technoelectricengineeringcompany/TEE
Blue Star,378.90,352.10,366.70,354.35,12.35,218537,82951,118436,78751,4 Star,http://www.moneycontrol.com/india/stockpricequote/consumergoods-whitegoods/bluestar/BS
India Cements,113.80,106.10,112.65,108.90,3.75,4544893,3164088,2721054,2378618,5 Star,http://www.moneycontrol.com/india/stockpricequote/cement-major/indiacements/IC
Motor and Gen F,38.40,37.50,38.40,37.10,1.30,241,1106,2467,1500,2 Star,http://www.moneycontrol.com/india/stockpricequote/finance-leasinghirepurchase/motorgeneralfinance/MGF
Siti Cable,28,26.70,27.75,26.85,0.90,1108876,909589,628902,433712,5 Star,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/siticablenetwork/WWI
Genus Power,27.65,25.10,27.35,26.45,0.90,162440,93783,94416,126517,4 Star,http://www.moneycontrol.com/india/stockpricequote/electricals/genuspowerinfrastructures/GPI08
Petron Engg,152.65,143.50,151.10,146.20,4.90,5002,9755,15214,11469,2 Star,http://www.moneycontrol.com/india/stockpricequote/engineering/petronengineeringconstruction/PEC01
Elecon Eng,53,50.55,52.55,50.85,1.70,193485,367958,330834,225955,3 Star,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/eleconengineeringcompany/EEC
KSK Energy Vent,77,73.70,75.95,73.50,2.45,55042,137077,321511,248551,2 Star,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/kskenergyventures/KEV
Pratibha Ind,58.95,56.70,57.50,55.65,1.85,829197,651122,413949,261869,5 Star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/pratibhaindustries/PI33
Sundaram-Clayto,1630,1550,1627.30,1575.10,52.20,1961,726,1062,1394,4 Star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/sundaram-clayton/SC
JM Financial,47.35,45,46.85,45.35,1.50,1029190,795164,1628786,899016,2 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/jmfinancial/JMF
Sanghvi Movers,174.95,160.60,171.70,166.20,5.50,27203,15602,20756,16494,4 Star,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/sanghvimovers/SM10
ADF Foods,63.40,57.05,61.30,59.35,1.95,178988,248417,177855,115679,3 Star,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/adffoodsindustries/AF30
ALSTOM India,604,555.65,594.65,575.65,19,429631,179833,180418,94612,4 Star,http://www.moneycontrol.com/india/stockpricequote/power-transmissionequipment/alstomindia/AP29
Torrent Pharma,969.75,944,967.25,936.50,30.75,70414,80316,88506,80326,2 Star,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/torrentpharmaceuticals/TP06
HT Media,113.80,107.50,109.40,105.95,3.45,486983,297079,230649,142638,5 Star,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/htmedia/HT
Gulf Oil Lubri,396.65,372.25,383.55,371.50,12.05,104208,114929,103412,61670,3 Star,http://www.moneycontrol.com/india/stockpricequote/lubricants/gulfoillubricants/GOL01
Surana Telecom,49.25,40,44.85,43.45,1.40,60339,7624,5777,28592,4 Star,http://www.moneycontrol.com/india/stockpricequote/cables-telephone/suranatelecompower/ST12
Onward Tech,59.65,56.25,57.90,56.10,1.80,19242,16655,13945,6678,5 Star,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/onwardtechnologies/OT
DCB Bank,105,100.10,104.85,101.60,3.25,1908081,1640553,1456588,943208,5 Star,http://www.moneycontrol.com/india/stockpricequote/banks-privatesector/dcbbank/DCB01
Gammon India,34.80,33,34.15,33.10,1.05,243677,388009,573895,432231,2 Star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/gammonindia/GI03
PSU BANK BEES,439,421,434.27,421.24,13.03,2623,1347,2157,2049,4 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/goldmansachspsubankexchangetradedscheme/BMF
Vardhman Acryli,23.75,22.75,23.50,22.80,0.70,84642,61732,60816,40610,5 Star,http://www.moneycontrol.com/india/stockpricequote/textiles-manmade/vardhmanacrylics/VA08
Adani Power,47.50,45.30,47.25,45.85,1.40,3739797,4165679,4454317,3908863,2 Star,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/adanipower/AP11
OnMobile Global,53.40,50.15,52.80,51.25,1.55,2298314,1663595,3884945,1673265,2 Star,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/onmobileglobal/OG01
Suprajit Eng,126.80,120.15,124.80,121.15,3.65,62235,29904,62376,42818,2 Star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/suprajitengineering/SE15
MMTC Ltd,68.30,64.60,66.95,65,1.95,733106,510059,669157,692802,4 Star,http://www.moneycontrol.com/india/stockpricequote/trading/mmtc/MMT
Tata Global Bev,161.90,154.35,159.90,155.25,4.65,4643861,1958651,2687566,2309160,4 Star,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/tataglobalbeverage/TT
Mahindra Ugine,574.50,530.60,565.15,548.75,16.40,96266,61086,111277,50640,2 Star,http://www.moneycontrol.com/india/stockpricequote/steel-mediumsmall/mahindrauginesteelcompany/MUS
Usher Agro,61.80,59,60.50,58.75,1.75,348181,544827,585680,385908,2 Star,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/usheragro/UA01
Igarashi Motors,314.15,296.05,307.20,298.30,8.90,138331,65764,97823,124480,4 Star,http://www.moneycontrol.com/india/stockpricequote/electricequipment/igarashimotors/IM01
Kotak PSU Bank,418.95,404.50,416.57,404.54,12.03,21326,5599,9134,13294,4 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/kotakmahindramf-kotakpsubanketf/KMM
Super Sales,319,295,314,304.95,9.05,290,699,482,577,3 Star,http://www.moneycontrol.com/india/stockpricequote/textiles-spinning-cottonblended/supersalesindia/SSI13
Asian Paints,694.95,675,691.95,672.20,19.75,2528265,2047305,1842379,1497658,5 Star,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31
Trent,1532.95,1449,1517.35,1474.15,43.20,40569,36318,33321,19456,5 Star,http://www.moneycontrol.com/india/stockpricequote/retail/trent/T04
Century Enka,163.25,156,162.10,157.45,4.65,30703,19056,33229,23050,2 Star,http://www.moneycontrol.com/india/stockpricequote/textiles-manmade/centuryenka/CE
AIA Engineering,1115,1075,1108,1076.60,31.40,58634,149597,100174,69135,3 Star,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/aiaengineering/AIE01
Radico Khaitan,84.50,81.55,83.75,81.40,2.35,170297,277322,242125,256180,3 Star,http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/radicokhaitan/RK01
Bosch,17176,16628.40,17033.25,16563.10,470.15,11289,17939,12174,8059,3 Star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/bosch/B05
Tree House,459.80,429.80,444.70,432.35,12.35,65500,99413,116414,62160,2 Star,http://www.moneycontrol.com/india/stockpricequote/computers-software-training/treehouseeducationaccessories/THE01
UCAL Fuel,133.20,125.50,130.15,126.55,3.60,199043,758573,389909,144716,3 Star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/ucalfuelsystems/UFS
Upper Ganges,42.75,40.05,41.80,40.65,1.15,2380,6685,3944,1986,3 Star,http://www.moneycontrol.com/india/stockpricequote/sugar/uppergangessugar/UGS
Agro Tech Foods,629.90,602.50,625.80,608.60,17.20,6808,11878,11891,7614,2 Star,http://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/agrotechfoods/ATF
Akzo Nobel,1291.85,1227.65,1288.45,1253.10,35.35,17261,25488,22808,19954,3 Star,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/akzonobelindia/ICI
Manappuram Fin,35.40,33.90,34.75,33.80,0.95,2394913,3294879,4287027,3238065,2 Star,http://www.moneycontrol.com/india/stockpricequote/finance-leasinghirepurchase/manappuramfinance/MGF01
ICICI Gold ETF,2526,2456,2500.40,2432,68.40,358,528,595,376,2 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/iciciprudentialgoldexchangetradedfund/ICI10
Voltas,279.95,269.25,279.15,271.55,7.60,4570809,3187644,2497605,2423044,5 Star,http://www.moneycontrol.com/india/stockpricequote/diversified/voltas/V
IDBI Gold ETF,2549.95,2487,2543,2473.80,69.20,524,189,402,229,4 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/idbigoldexchangetradedfund/IDB06
Reliance Infra,641.75,615.20,638.45,621.10,17.35,1967409,1937657,2285618,1975972,2 Star,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/relianceinfrastructure/RI38
Chambal Fert,71.10,68.25,70.60,68.70,1.90,1039707,843816,904397,619715,4 Star,http://www.moneycontrol.com/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC
SBI Gold ETF,2485,2436,2482.55,2415.50,67.05,6930,7433,8625,5261,2 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/sbimutualfund-goldexchangetradedscheme/SBI16
Global Offshore,535,507,523.35,509.45,13.90,88412,53518,53116,37731,5 Star,http://www.moneycontrol.com/india/stockpricequote/shipping/globaloffshoreservices/GOS
R Shares Gold,2374,2322,2370.60,2307.60,63,7973,6702,5481,2801,5 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/r*sharesgoldetf/RMF
IRB Infra,279,262.40,275.15,267.85,7.30,2093712,3508696,3228419,3013831,3 Star,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/irbinfrastructuredevelopers/IID01
Rain Industries,51.85,49.10,50.95,49.60,1.35,322431,278029,478194,359718,2 Star,http://www.moneycontrol.com/india/stockpricequote/cement-major/rainindustries/RC12
Huhtamaki PPL,187,177.05,184.45,179.60,4.85,41512,41702,66735,43941,2 Star,http://www.moneycontrol.com/india/stockpricequote/packaging/huhtamakippl/PP
Balmer Lawrie,587,562.10,580.80,565.55,15.25,51742,38797,53780,32762,2 Star,http://www.moneycontrol.com/india/stockpricequote/packaging/balmerlawriecompany/BLC
Asian Hotel (W),115.90,109,115.85,112.80,3.05,656,6888,6059,3591,3 Star,http://www.moneycontrol.com/india/stockpricequote/hotels/asianhotels(west)/AHW
GNFC,92.30,89.20,91.65,89.25,2.40,182587,78892,107423,134279,4 Star,http://www.moneycontrol.com/india/stockpricequote/fertilisers/gujaratnarmadavalleyfertilizerschemicals/GNV
Jindal Saw,103.60,97.15,101.45,98.80,2.65,9603059,13459536,7264549,3080799,3 Star,http://www.moneycontrol.com/india/stockpricequote/steel-tubespipes/jindalsaw/JS08
MOSt Gold ETF,2559.30,2461.05,2505.15,2440,65.15,1753,325,370,278,4 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/motilaloswalmostsharesgoldetf/MOM03
Religare Gold,2519.95,2472.75,2500,2435.25,64.75,260,73,91,68,4 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/religaregoldexchangetradedfund/RGE
Andhra Bank,89.35,86.15,89.05,86.75,2.30,3521723,3633983,5057942,4101345,2 Star,http://www.moneycontrol.com/india/stockpricequote/banks-publicsector/andhrabank/AB14
Welspun Invest,36,32.30,35,34.10,0.90,1738,502,488,1182,4 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/welspuninvestmentscommercials/WIC01
Oil Country,41.80,39.65,41.05,40,1.05,48186,38568,45212,33354,4 Star,http://www.moneycontrol.com/india/stockpricequote/steel-tubespipes/oilcountrytubular/OCT
Texmaco Rail,115.60,108.50,112.75,109.90,2.85,3199062,3481420,2504751,1238526,3 Star,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/texmacorailengineering/TRE
Corporation Bk,331.75,320,330.25,321.90,8.35,285788,102106,178499,83900,4 Star,http://www.moneycontrol.com/india/stockpricequote/banks-publicsector/corporationbank/CB
TD Power System,457,428,450.70,439.50,11.20,380217,107394,66226,57754,5 Star,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/tdpowersystems/TPS01
Axis Gold ETF,2486,2448.25,2474.70,2413.35,61.35,625,1179,1154,586,3 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/axismutualfund-goldetf/AMF02
Kotak MF-GETF,2464.50,2401,2424.05,2364.20,59.85,5528,5164,5401,3462,4 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/kotakmutualfund-goldexchangetradedfund/KMF03
Thangamayil,191.05,182.10,189.75,185.10,4.65,6621,3995,2961,1747,5 Star,http://www.moneycontrol.com/india/stockpricequote/diamondcuttingpreciousmetalsjewellery/thangamayiljewellery/TJ
Birla Ericsson,68.20,62.75,67.35,65.70,1.65,95947,62534,56665,44291,5 Star,http://www.moneycontrol.com/india/stockpricequote/cables-telephone/birlaericssonopticals/BEO
Birla Corp,504.20,476,492.60,480.55,12.05,48158,41877,66299,48304,2 Star,http://www.moneycontrol.com/india/stockpricequote/cement-major/birlacorporation/BC07
Vipul,41.50,39.50,41.30,40.30,1,180004,125770,132954,74577,4 Star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-realestate/vipul/V04
DQ Entertain,28.35,25.80,26.95,26.30,0.65,303446,131539,102002,125448,5 Star,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/dqentertainmentinternational/DEI01
Gallantt Ispat,395.70,393,395.45,385.95,9.50,16982,27980,22814,23948,3 Star,http://www.moneycontrol.com/india/stockpricequote/steel-spongeiron/gallanttispat/GI
Prakash Steelag,165,151.10,153.90,150.20,3.70,24731,34161,22586,15356,3 Star,http://www.moneycontrol.com/india/stockpricequote/steel-tubespipes/prakashsteelage/PS16
Balaji Telefilm,79,75,78.20,76.35,1.85,169239,276542,266628,217082,3 Star,http://www.moneycontrol.com/india/stockpricequote/mediaentertainment/balajitelefilms/BT06
Quantum Gold,1241,1211,1231.80,1202.20,29.60,1263,945,1363,841,2 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/quantumgoldfund-exchangetradedfund(etf)/QGF
HOEC,51.95,48.80,50.95,49.75,1.20,1041317,976141,1511242,1231158,2 Star,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/hindustanoilexplorationcompany/HOE01
Munjal Auto Ind,118.20,112,116.90,114.15,2.75,60564,186662,135149,95923,3 Star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/munjalautoindustries/MAI04
Astral Poly Tec,403.30,380,398.50,389.15,9.35,138665,108452,584168,217347,2 Star,http://www.moneycontrol.com/india/stockpricequote/plastics/astralpolytechnik/APT02
Coromandel Int,323.80,312.20,321.85,314.30,7.55,98763,97630,189938,167090,2 Star,http://www.moneycontrol.com/india/stockpricequote/fertilisers/coromandelinternational/CI45
Ganesh Housing,140.05,135,138.10,134.85,3.25,26181,42075,27787,14140,3 Star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-housing/ganeshhousingcorporation/GHC02
TIL,416.95,402,412.80,403.20,9.60,20068,56749,38031,20360,3 Star,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/til/TIL
Technocraft Ind,195.45,185.20,189.25,184.85,4.40,38690,28609,34296,23262,4 Star,http://www.moneycontrol.com/india/stockpricequote/steel-mediumsmall/technocraftindustries(india)/TII01
Indraprastha,52.45,51,52.10,50.90,1.20,77667,155977,175670,118251,2 Star,http://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/indraprasthamedicalcorporation/IMC03
CenturyPlyboard,141.90,135.50,140.20,137,3.20,137582,286765,713358,397112,2 Star,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/centuryplyboards/CP9
Tamil Newsprint,142,138,141.50,138.25,3.25,49243,103009,71646,55814,3 Star,http://www.moneycontrol.com/india/stockpricequote/paper/tamilnadunewsprintpapers/TNN
MPS,738.80,705,722.35,705.95,16.40,23860,11533,49151,31971,2 Star,http://www.moneycontrol.com/india/stockpricequote/printingstationery/mps/MI31
Orient Cement,148.65,137,143.35,140.10,3.25,141307,191947,256309,234522,2 Star,http://www.moneycontrol.com/india/stockpricequote/cement-major/orientcement/OC10
Gillanders Arbu,75,71.25,73.70,72.05,1.65,16071,22053,14099,8191,3 Star,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/gillandersarbuthnotco/GAC03
Kakatiya Cement,110,105.90,109.85,107.40,2.45,7179,3931,3630,3566,5 Star,http://www.moneycontrol.com/india/stockpricequote/cement-mini/kakatiyacements/KC01
Jamna Auto,154,146.60,153.15,149.75,3.40,10956,25366,16566,8812,3 Star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/jamnaautoindustries/JAI
Oudh Sugar Mill,23.30,21.20,22.70,22.20,0.50,7327,9817,8490,4804,3 Star,http://www.moneycontrol.com/india/stockpricequote/sugar/oudhsugarmills/OSM
Can Fin Homes,510,502,504.25,493.25,11,29872,50043,48218,37525,3 Star,http://www.moneycontrol.com/india/stockpricequote/finance-housing/canfinhomes/CFH
Triveni Engg,28.65,27,27.80,27.20,0.60,543189,702396,427912,192546,3 Star,http://www.moneycontrol.com/india/stockpricequote/sugar/triveniengineeringindustries/TE10
BF Investment,119,114,117.05,114.50,2.55,24175,53898,78824,64991,2 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/bfinvestment/BFI
Timken,455.60,441.50,451.35,441.65,9.70,460232,699343,442278,245349,3 Star,http://www.moneycontrol.com/india/stockpricequote/bearings/timkenindia/TI23
NHPC,21.05,20.30,20.95,20.50,0.45,5701311,4990934,7285036,5218437,2 Star,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/nhpc/N07
GIC Housing Fin,192.05,187.25,190.85,186.75,4.10,232971,539430,345277,204148,3 Star,http://www.moneycontrol.com/india/stockpricequote/finance-housing/gichousingfinance/GIC
Hero Motocorp,3040.85,2950.05,3028.90,2964.40,64.50,779054,549612,1725090,932811,2 Star,http://www.moneycontrol.com/india/stockpricequote/auto-23wheelers/heromotocorp/HHM
Mahindra Life,531.90,509.20,528.10,516.85,11.25,23845,11552,18335,17972,4 Star,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/mahindralifespacedevelopers/MLD
Jindal Poly Inv,130.40,121.30,126.90,124.20,2.70,14819,9795,7245,4577,5 Star,http://www.moneycontrol.com/india/stockpricequote/finance-general/jindalpolyinvestmentfinancecompany/JPI02
HDFC Gold ETF,2544.90,2510,2529.20,2475.65,53.55,3812,1998,3193,1928,4 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/hdfcmutualfund-goldexchangetradedfund/HDF02
Aarti Ind,301,291,298.05,291.80,6.25,48959,35385,74738,45792,2 Star,http://www.moneycontrol.com/india/stockpricequote/chemicals/aartiindustries/AI45
TVS Srichakra,1740,1678,1714.45,1678.80,35.65,20898,90491,49252,22713,3 Star,http://www.moneycontrol.com/india/stockpricequote/tyres/tvssrichakra/TVS03
Jayant Agro-Org,135.85,125.15,132.10,129.35,2.75,11330,39328,33502,15057,3 Star,http://www.moneycontrol.com/india/stockpricequote/chemicals/jayantagro-organics/JAO
Munjal Showa,236.45,220.65,234.70,229.85,4.85,73213,38206,136827,88497,2 Star,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/munjalshowa/MS
Kirloskar Ind,615,605.70,614.60,601.85,12.75,1802,576,631,832,4 Star,http://www.moneycontrol.com/india/stockpricequote/engines/kirloskarindustries/KOE
Granules India,818.90,773.10,799.90,783.45,16.45,215418,256576,239655,185689,3 Star,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/granulesindia/GI25
Fedders Lloyd,81.75,77.10,79.70,78.05,1.65,203474,231344,168582,110448,3 Star,http://www.moneycontrol.com/india/stockpricequote/consumergoods-whitegoods/fedderslloyd/FL
Pioneer Distill,39.25,36.40,39.10,38.30,0.80,540,6488,5054,5735,3 Star,http://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/pioneerdistilleries/PDL
Berger Paints,367.50,355.25,366.10,358.65,7.45,493892,217729,267770,370186,4 Star,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02
Gillette India,3514.95,3351.60,3477.95,3407.45,70.50,7508,24474,16850,7918,3 Star,http://www.moneycontrol.com/india/stockpricequote/personalcare/gilletteindia/GI22
PNB Gilts,27.40,26.50,27.05,26.50,0.55,290203,354379,652542,430052,2 Star,http://www.moneycontrol.com/india/stockpricequote/finance-investments/pnbgilts/PNB04
