Company Name,High,Low,Last Price,Prv Close,Change,% Gain,PositiveBreakOut,API
ICICI Gold ETF,2466,2466,2466,2438,28,1.15,null,/india/stockpricequote/finance-investments/iciciprudentialgoldexchangetradedfund/ICI10 
Rushil Decor,59.50,58,58.45,57.80,0.65,1.15,null,/india/stockpricequote/miscellaneous/rushildecor/RD02 
Bombay Rayon,130.50,125.50,128,126.60,1.40,1.12,null,/india/stockpricequote/textiles-general/bombayrayonfashions/BRF 
Tokyo Plast,23,23,23,22.75,0.25,1.11,null,/india/stockpricequote/plastics/tokyoplastinternational/TPI01 
Cholamandalam,597,578,588.70,582.30,6.40,1.10,null,/india/stockpricequote/finance-leasinghirepurchase/cholamandalaminvestmentfinancecompany/CDB 
Future Life,69.75,67.85,69.75,69,0.75,1.10,null,/india/stockpricequote/retail/futurelifestylefashions/FLF01 
Indiabulls Hsg,576.95,570,571.65,565.50,6.15,1.09,null,/india/stockpricequote/finance-housing/indiabullshousingfinance/IHF01 
Ashiana Housing,270.20,267,268.95,266.05,2.90,1.09,null,/india/stockpricequote/constructioncontracting-housing/ashianahousing/AH07 
APL Apollo,398,379,392.10,387.90,4.20,1.09,null,/india/stockpricequote/steel-tubespipes/aplapollotubes/BT09 
Granules India,913.95,886,887.95,878.50,9.45,1.08,null,/india/stockpricequote/pharmaceuticals/granulesindia/GI25 
Sunil HitechEng,143,140.10,142.55,141.05,1.50,1.08,null,/india/stockpricequote/power-transmissionequipment/sunilhitechengineers/SHE 
HSIL,427.85,415.10,425,420.55,4.45,1.06,null,/india/stockpricequote/ceramicsgranite/hsil/HSI02 
LIC Housing Fin,453.70,440.30,451.50,446.75,4.75,1.06,null,/india/stockpricequote/finance-housing/lichousingfinance/LIC 
Guj Mineral,116.50,114.65,115.50,114.30,1.20,1.06,null,/india/stockpricequote/miningminerals/gujaratmineraldevelopmentcorporation/GMD 
Ruchi Soya,44.80,44.20,44.60,44.15,0.45,1.05,null,/india/stockpricequote/edibleoilssolventextraction/ruchisoyaindustries/RSI 
STEL Holdings,25,24,25,24.75,0.25,1.02,null,/india/stockpricequote/finance-investments/stelholdings/STE01 
Star Ferro,173,166.50,166.80,165.15,1.65,1.01,null,/india/stockpricequote/steel-mediumsmall/starferrocement/SFC02 
Rel Capital,483.55,471.05,479,474.25,4.75,1,null,/india/stockpricequote/finance-investments/reliancecapital/RC 
Vaibhav Global,798.85,790,794.60,786.80,7.80,1,null,/india/stockpricequote/miscellaneous/vaibhavglobal/VG02 
JB Chemicals,192.80,189,191.10,189.25,1.85,0.99,null,/india/stockpricequote/pharmaceuticals/jbchemicalspharmaceuticals/JBC01 
Axis Gold ETF,2478.90,2478.90,2478.90,2454.95,23.95,0.98,null,/india/stockpricequote/finance-investments/axismutualfund-goldetf/AMF02 
Bal Pharma,69.70,65,67.90,67.25,0.65,0.98,null,/india/stockpricequote/pharmaceuticals/balpharma/BP02 
Sagar Cement,317,317,317,313.95,3.05,0.97,null,/india/stockpricequote/cement-mini/sagarcements/SC27 
Ambika Cotton,753.95,703.70,752,744.80,7.20,0.97,null,/india/stockpricequote/textiles-spinning-cottonblended/ambikacottonmills/ACM04 
Shriram City,1981.95,1964,1974.10,1955.25,18.85,0.97,null,/india/stockpricequote/finance-leasinghirepurchase/shriramcityunionfinance/SCU 
Archies,21.30,20.90,21.15,20.95,0.20,0.96,null,/india/stockpricequote/printingstationery/archies/A15 
Asahi India,156,151.20,154.15,152.70,1.45,0.95,null,/india/stockpricequote/glassglassproducts/asahiindiaglass/AIG01 
Asian Paints,817.10,809,816,808.40,7.60,0.95,null,/india/stockpricequote/paintsvarnishes/asianpaints/AP31 
Asian Granito,120.90,118,119.60,118.50,1.10,0.94,null,/india/stockpricequote/ceramicsgranite/asiangranitoindia/AGI04 
Videocon Ind,157.20,155.25,155.50,154.10,1.40,0.93,null,/india/stockpricequote/consumergoods-electronic/videoconindustries/VLF 
Tata Motors,565.70,559.05,563.40,558.35,5.05,0.91,null,/india/stockpricequote/auto-lcvshcvs/tatamotors/TM03 
Taj GVK Hotels,74,73,73.70,73.05,0.65,0.90,null,/india/stockpricequote/hotels/tajgvkhotelsresorts/TGV 
Williamson Mago,73.90,72,73.90,73.25,0.65,0.89,null,/india/stockpricequote/finance-investments/williamsonmagorcompany/WMC 
Finolex Cables,300.80,293.55,293.75,291.20,2.55,0.89,null,/india/stockpricequote/cables-telephone/finolexcables/FC01 
Zuari Global,97.45,97.45,97.45,96.60,0.85,0.88,null,/india/stockpricequote/fertilisers/zuariglobal/ZI01 
Ipca Labs,744,732.60,738.75,732.30,6.45,0.88,null,/india/stockpricequote/pharmaceuticals/ipcalaboratories/IL 
Container Corp,1683.65,1654.10,1678.10,1663.70,14.40,0.88,null,/india/stockpricequote/transportlogistics/containercorporationindia/CCI 
Cybertech,32.80,28.05,29.30,29.05,0.25,0.87,null,/india/stockpricequote/computers-softwaremediumsmall/cybertechsystemssoftware/CSS 
Speciality Rest,187.05,185.30,186.90,185.30,1.60,0.86,null,/india/stockpricequote/hotels/specialityrestaurants/SR06 
Orient Refract,95,94.85,95,94.20,0.80,0.86,null,/india/stockpricequote/cement-productsbuildingmaterials/orientrefractories/OR01 
Berger Paints,216.35,213.15,213.20,211.40,1.80,0.85,null,/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02 
KEI Industries,67,64.05,65.95,65.40,0.55,0.85,null,/india/stockpricequote/cables-powerothers/keiindustries/KEI 
Prakash Ind,42.90,41.30,42,41.65,0.35,0.84,null,/india/stockpricequote/diversified/prakashindustries/PI18 
Coromandel Int,275.50,272,275.05,272.75,2.30,0.84,null,/india/stockpricequote/fertilisers/coromandelinternational/CI45 
Rico Auto,43.35,41.55,42.40,42.05,0.35,0.84,null,/india/stockpricequote/autoancillaries/ricoauto/RA04 
Zee Entertain,347.85,340.30,347.05,344.20,2.85,0.83,null,/india/stockpricequote/mediaentertainment/zeeentertainmententerprises/ZEE 
Swaraj Engines,780,775.05,776.25,769.95,6.30,0.83,null,/india/stockpricequote/engines/swarajengines/SE 
Prestige Estate,268,262,265.65,263.50,2.15,0.82,null,/india/stockpricequote/constructioncontracting-realestate/prestigeestatesprojects/PEP02 
Lambodhara Text,158.10,157.30,157.80,156.55,1.25,0.82,null,/india/stockpricequote/textiles-spinning-cottonblended/lambodharatextile/LT02 
8K Miles Soft,706.40,691.15,701.05,695.50,5.55,0.80,null,/india/stockpricequote/finance-investments/8kmilessoftwareservices/PMS01 
Unichem Labs,219,213.35,215,213.30,1.70,0.80,null,/india/stockpricequote/pharmaceuticals/unichemlaboratories/UL02 
Alicon Castallo,287,278.40,287,284.75,2.25,0.80,null,/india/stockpricequote/castingsforgings/aliconcastalloy/EC06 
Wipro,644.55,636.60,644.30,639.25,5.05,0.79,null,/india/stockpricequote/computers-software/wipro/W 
Supreme Ind,712.70,700.80,705.30,699.75,5.55,0.79,null,/india/stockpricequote/plastics/supremeindustries/SI48 
Sona Koyo Stee,51.60,50.90,51.50,51.10,0.40,0.79,null,/india/stockpricequote/autoancillaries/sonakoyosteeringsystems/SKS04 
South Ind Bk,26,25.65,26,25.80,0.20,0.78,null,/india/stockpricequote/banks-privatesector/southindianbank/SIB 
Thiru Arooran,33.25,30.05,32.65,32.40,0.25,0.78,null,/india/stockpricequote/sugar/thiruarooransugarsindustries/TAS 
Datamatics Glob,73.50,71.25,72.40,71.85,0.55,0.77,null,/india/stockpricequote/computers-softwaremediumsmall/datamaticsglobalservices/DGS01 
Chambal Fert,67,65.50,66.10,65.60,0.50,0.77,null,/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC 
Gujarat Apollo,133.90,131.30,132.10,131.10,1,0.76,null,/india/stockpricequote/engineering-heavy/gujaratapolloindustries/GAI03 
Gulshan Poly,290,267.05,271.10,269.05,2.05,0.76,null,/india/stockpricequote/chemicals/gulshanpolyols/GP9 
SKS Microfin,433.45,426,431.95,428.75,3.20,0.76,null,/india/stockpricequote/finance-general/sksmicrofinance/SM11 
Jaiprakash Asso,27.40,26.80,27,26.80,0.20,0.75,null,/india/stockpricequote/infrastructure-general/jaiprakashassociates/JA02 
MT Educare,115,113,113.60,112.75,0.85,0.75,null,/india/stockpricequote/computers-software-training/mteducare/ME14 
Mah Scooters,872.50,850,870,863.60,6.40,0.75,null,/india/stockpricequote/auto-23wheelers/maharashtrascooters/MS01 
Carborundum,192.40,185.25,189.90,188.50,1.40,0.74,null,/india/stockpricequote/abrasives/carborundumuniversal/CU 
TCS,2610,2575,2601.30,2582.35,18.95,0.74,null,/india/stockpricequote/computers-software/tataconsultancyservices/TCS 
RPP Infra Proj,123.70,122.45,123.70,122.80,0.90,0.73,null,/india/stockpricequote/constructioncontracting-civil/rppinfraprojects/RIP01 
GM Breweries,110.05,109,110.05,109.25,0.80,0.73,null,/india/stockpricequote/breweriesdistilleries/gmbreweries/GMB 
Indo-National,698.95,685.50,698.95,693.90,5.05,0.73,null,/india/stockpricequote/drycells/indo-national/NBC 
Garden Silk,28.75,27.55,27.70,27.50,0.20,0.73,null,/india/stockpricequote/textiles-weaving/gardensilkmills/GSM 
Graphite India,84.80,83.50,84.40,83.80,0.60,0.73,null,/india/stockpricequote/electrodesgraphite/graphiteindia/GI13 
Gokaldas Export,48.65,48.10,48.65,48.30,0.35,0.72,null,/india/stockpricequote/textiles-readymadeapparels/gokaldasexports/GE05 
Hotel Leela,21.40,21.20,21.40,21.25,0.15,0.72,null,/india/stockpricequote/hotels/hotelleelaventure/HLV 
Tata Motors (D),342,337.30,340,337.60,2.40,0.71,null,/india/stockpricequote/auto-lcvshcvs/tatamotors(dvr)/TMD 
Ajmera Realty,124,121.50,122.40,121.55,0.85,0.71,null,/india/stockpricequote/steel-gpgcsheets/ajmerarealtyinfraindia/ARI03 
BASF,1219,1176.90,1182.15,1174.10,8.05,0.70,null,/india/stockpricequote/chemicals/basfindia/BAS 
Atul,1240,1212,1216.65,1208.35,8.30,0.69,null,/india/stockpricequote/dyespigments/atul/A06 
Eveready Ind,270,263,266,264.20,1.80,0.69,null,/india/stockpricequote/drycells/evereadyindustriesindia/EII02 
Alembic Pharma,452,446,448.05,445.05,3,0.68,null,/india/stockpricequote/pharmaceuticals/alembicpharmaceuticals/AP35 
TGB Banquets,99.70,97.85,98.50,97.85,0.65,0.67,null,/india/stockpricequote/hotels/tgbbanquetshotels/BBaH 
Jindal Drilling,189.85,183.35,186.80,185.60,1.20,0.66,null,/india/stockpricequote/oildrillingandexploration/jindaldrillingindustries/JDI 
NDTV,112.50,110.80,111,110.30,0.70,0.65,null,/india/stockpricequote/mediaentertainment/newdelhitelevision/NDT01 
HCL Tech,2036.05,2014,2025.05,2012.60,12.45,0.63,null,/india/stockpricequote/computers-software/hcltechnologies/HCL02 
Guj Flourochem,775,741.60,765.60,760.90,4.70,0.62,null,/india/stockpricequote/chemicals/gujaratfluorochemicals/GF07 
Foseco India,1245.20,1228,1237.80,1230.20,7.60,0.62,null,/india/stockpricequote/chemicals/fosecoindia/FI12 
J Kumar Infra,668.50,660,664.35,660.30,4.05,0.62,null,/india/stockpricequote/constructioncontracting-civil/jkumarinfraprojects/KI01 
Emami Infra,41,40.05,41,40.75,0.25,0.61,null,/india/stockpricequote/constructioncontracting-realestate/emamiinfrastructure/EI23 
Adani Power,50.50,49.40,50.30,50,0.30,0.61,null,/india/stockpricequote/power-generationdistribution/adanipower/AP11 
Apcotex Ind,522,508.50,522,518.95,3.05,0.60,null,/india/stockpricequote/rubber/apcotexindustries/AI58 
Bharat Gears,77,74.15,77,76.55,0.45,0.59,null,/india/stockpricequote/autoancillaries/bharatgears/BG01 
Alstom T&D,576,563.10,568.95,565.70,3.25,0.59,null,/india/stockpricequote/power-transmissionequipment/alstomtdindia/ATD 
HDFC Gold ETF,2500,2477.80,2490,2475.80,14.20,0.57,null,/india/stockpricequote/finance-investments/hdfcmutualfund-goldexchangetradedfund/HDF02 
Elgi Equipments,151.80,150.20,151.05,150.20,0.85,0.57,null,/india/stockpricequote/compressors/elgiequipments/EE01 
Styrolution ABS,678.85,667,673,669.25,3.75,0.57,null,/india/stockpricequote/petrochemicals/styrolutionabs(india)/INE01 
Tribhovandas,163.30,159.50,160.95,160.05,0.90,0.56,null,/india/stockpricequote/diamondcuttingjewellerypreciousmetals/tribhovandasbhimjizaveri/TBZ 
Emkay Global,54,54,54,53.70,0.30,0.56,null,/india/stockpricequote/finance-general/emkayglobalfinancialservices/EGF 
Abbott India,3850,3810.95,3849.90,3828.80,21.10,0.56,null,/india/stockpricequote/pharmaceuticals/abbottindia/AI51 
LT Foods,111.80,108,109,108.40,0.60,0.55,null,/india/stockpricequote/foodprocessing/ltfoods/LTF 
JK Lakshmi Cem,377.10,363.25,374.95,372.95,2,0.55,null,/india/stockpricequote/cement-major/jklakshmicement/JKL01 
Welspun Ent,350,337.05,350,348.15,1.85,0.54,null,/india/stockpricequote/miscellaneous/welspunenterprises/WE01 
Godrej Prop,269,264.45,267.30,265.95,1.35,0.53,null,/india/stockpricequote/constructioncontracting-realestate/godrejproperties/GP11 
Store One,32,29.75,29.75,29.60,0.15,0.51,null,/india/stockpricequote/textiles-readymadeapparels/storeoneretailindia/IRS01 
SBI Gold ETF,2459,2443.80,2452.70,2440.50,12.20,0.51,null,/india/stockpricequote/finance-investments/sbimutualfund-goldexchangetradedscheme/SBI16 
Morarjee Text,40,40,40,39.80,0.20,0.50,null,/india/stockpricequote/textiles-spinning-cottonblended/morarjeetextiles/MT12 
Triveni Engg,20.45,19.50,20.30,20.20,0.10,0.50,null,/india/stockpricequote/sugar/triveniengineeringindustries/TE10 
Kakatiya Cement,124.80,120.30,122.50,121.90,0.60,0.50,null,/india/stockpricequote/cement-mini/kakatiyacements/KC01 
Puravankara,73.25,72,72.10,71.75,0.35,0.49,null,/india/stockpricequote/constructioncontracting-realestate/puravankaraprojects/PP01 
BPCL,745,733.30,734.95,731.40,3.55,0.49,null,/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC 
UCAL Fuel,113,111.10,112,111.45,0.55,0.49,null,/india/stockpricequote/autoancillaries/ucalfuelsystems/UFS 
Talbros Auto,156.35,152,155,154.25,0.75,0.49,null,/india/stockpricequote/autoancillaries/talbrosautomotivecomponents/TAC 
Caplin Labs,998.70,939.65,954.30,949.75,4.55,0.49,null,/india/stockpricequote/pharmaceuticals/caplinpointlaboratories/CPL 
IDFC,167.65,165.15,166.90,166.10,0.80,0.48,null,/india/stockpricequote/finance-termlendinginstitutions/idfc/IDF 
Celestial Bio,63.80,63,63.50,63.20,0.30,0.48,null,/india/stockpricequote/pharmaceuticals/celestialbiolabs/CL05 
Advanta,407.50,396,405.05,403.15,1.90,0.47,null,/india/stockpricequote/miscellaneous/advanta/AI39 
GlaxoSmith Con,6124,6024.95,6050.05,6022.05,28,0.47,null,/india/stockpricequote/foodprocessing/glaxosmithklineconsumerhealthcare/GSC04 
Delta Corp,87.40,86.05,87,86.60,0.40,0.46,null,/india/stockpricequote/finance-general/deltacorp/DC11 
TVS Electronics,33.25,32,32.95,32.80,0.15,0.46,null,/india/stockpricequote/computers-hardware/tvselectronics/TVS02 
Visagar Polytex,725,706,706,702.80,3.20,0.46,null,/india/stockpricequote/finance-investments/visagarpolytex/VP10 
Kajaria Ceramic,775,765,770.45,767,3.45,0.46,null,/india/stockpricequote/ceramicsgranite/kajariaceramics/KC06 
SPML Infra,78,77,78,77.65,0.35,0.45,null,/india/stockpricequote/constructioncontracting-civil/spmlinfra/SPM05 
DQ Entertain,22.80,22.15,22.15,22.05,0.10,0.45,null,/india/stockpricequote/mediaentertainment/dqentertainmentinternational/DEI01 
Steel Str Wheel,327,311.30,321.25,319.80,1.45,0.45,null,/india/stockpricequote/autoancillaries/steelstripswheels/SSW02 
Premier,45.30,45.15,45.30,45.10,0.20,0.45,null,/india/stockpricequote/engineering/premier/P10 
Kohinoor Foods,45.65,44.70,45.20,45,0.20,0.44,null,/india/stockpricequote/foodprocessing/kohinoorfoods/KF15 
HCL Info,57.70,56.10,57.35,57.10,0.25,0.44,null,/india/stockpricequote/computers-hardware/hclinfosystems/HCL 
Larsen,1709.90,1689.50,1699.55,1692.15,7.40,0.44,null,/india/stockpricequote/infrastructure-general/larsentoubro/LT 
Dalmia Bharat,448.95,431,436.90,435,1.90,0.44,null,/india/stockpricequote/cement-major/dalmiabharat/DBE 
Precision Wires,132.10,128.50,130.45,129.90,0.55,0.44,null,/india/stockpricequote/metals-nonferrous/precisionwiresindia/PWI 
Emco,36.45,35.55,36,35.85,0.15,0.42,null,/india/stockpricequote/electricequipment/emco/E05 
Omaxe,134.05,133.40,133.85,133.30,0.55,0.42,null,/india/stockpricequote/constructioncontracting-realestate/omaxe/O02 
Raj Television,117.15,115.40,116.10,115.65,0.45,0.41,null,/india/stockpricequote/mediaentertainment/rajtelevisionnetwork/RTN 
Hinduja Venture,380,372.10,375.60,374.15,1.45,0.39,null,/india/stockpricequote/computers-software/hindujaventures/HV 
Ambuja Cements,258.35,255.70,257,256,1,0.39,null,/india/stockpricequote/cement-major/ambujacements/AC18 
Brooks Labs,38.90,38.20,38.90,38.75,0.15,0.39,null,/india/stockpricequote/pharmaceuticals/brookslaboratories/BL 
Kotak MF-GETF,2413.95,2386,2391,2381.80,9.20,0.39,null,/india/stockpricequote/finance-investments/kotakmutualfund-goldexchangetradedfund/KMF03 
Amrutanjan Heal,525.95,508.65,513.50,511.50,2,0.39,null,/india/stockpricequote/pharmaceuticals/amrutanjanhealthcare/AHC01 
Murudeshwar Cer,26.50,25.35,25.85,25.75,0.10,0.39,null,/india/stockpricequote/ceramicsgranite/murudeshwarceramics/MC13 
Tata Power,80.70,79.80,80,79.70,0.30,0.39,null,/india/stockpricequote/power-generationdistribution/tatapowercompany/TPC 
Quantum Gold,1213.95,1209.20,1209.20,1204.70,4.50,0.38,null,/india/stockpricequote/finance-investments/quantumgoldfund-exchangetradedfund(etf)/QGF 
Centum Electron,745,730,735,732.30,2.70,0.37,null,/india/stockpricequote/electricals/centumelectronics/CE10 
Lumax Inds,349.50,337.90,338.05,336.85,1.20,0.37,null,/india/stockpricequote/autoancillaries/lumaxindustries/LI05 
Indraprastha,58.50,56.70,57.50,57.30,0.20,0.36,null,/india/stockpricequote/hospitalsmedicalservices/indraprasthamedicalcorporation/IMC03 
Kopran,43.45,42.55,42.95,42.80,0.15,0.35,null,/india/stockpricequote/pharmaceuticals/kopran/K01 
Hind Copper,74,71.90,72.10,71.85,0.25,0.35,null,/india/stockpricequote/metals-nonferrous/hindustancopper/HC07 
Dynamatic Tech,2999,2940,2940,2929.75,10.25,0.35,null,/india/stockpricequote/pumps/dynamatictechnologies/DT05 
Nitin Spinners,30.45,29.60,29.90,29.80,0.10,0.35,null,/india/stockpricequote/textiles-spinning-cottonblended/nitinspinners/NS12 
