Company Name,High,Low,Last Price,Prv Close,Change,% Gain,PositiveBreakOut,API
Nitin Fire Prot,38.95,38.35,38.90,38.85,0.05,0.13,null,/india/stockpricequote/miscellaneous/nitinfireprotectionindustries/NFP01 
Esab India,684,684,684,683.20,0.80,0.13,null,/india/stockpricequote/electrodesgraphite/esabindia/EI06 
Ranbaxy Labs,805.80,792.40,793.75,792.80,0.95,0.12,null,/india/stockpricequote/pharmaceuticals/ranbaxylaboratories/RL 
Arihant Found,55.20,46.40,46.40,46.35,0.05,0.12,null,/india/stockpricequote/constructioncontracting-housing/arihantfoundationshousing/AFH 
Mohit Ind,44.60,43.85,44.15,44.10,0.05,0.11,null,/india/stockpricequote/textiles-processing/mohitindustries/MI36 
Usher Agro,47,46.50,46.50,46.45,0.05,0.11,null,/india/stockpricequote/foodprocessing/usheragro/UA01 
Nahar Spinning,97.90,93.10,94.95,94.85,0.10,0.11,null,/india/stockpricequote/textiles-hosieryknitwear/naharspinningmills/NSM 
TT,44.05,42.50,43.55,43.50,0.05,0.11,null,/india/stockpricequote/textiles-hosieryknitwear/tt/TT06 
StanChart IDR,89.80,87.80,88,87.90,0.10,0.11,null,/india/stockpricequote/banks-privatesector/standardcharteredplc/SCB01 
NALCO,47.65,47.20,47.20,47.15,0.05,0.11,null,/india/stockpricequote/aluminium/nationalaluminiumcompany/NAC 
Schneider Infra,206.60,195.30,199.35,199.15,0.20,0.11,null,/india/stockpricequote/power-generationdistribution/schneiderelectricinfrastructure/SEI04 
Shrenuj and Co,50.10,48.20,50,49.95,0.05,0.10,null,/india/stockpricequote/diamondcuttingjewellerypreciousmetals/shrenujcompany/SC13 
CARE,1544.05,1537.65,1539,1537.45,1.55,0.10,null,/india/stockpricequote/miscellaneous/creditanalysisresearch/CAR 
West Coast Papr,53.80,53.15,53.80,53.75,0.05,0.10,null,/india/stockpricequote/paper/westcoastpapermills/WCP 
India Nippon,400,399,400,399.65,0.35,0.09,null,/india/stockpricequote/autoancillaries/indianipponelectricals/INE 
Dabur India,274.45,271,272.70,272.45,0.25,0.09,null,/india/stockpricequote/personalcare/daburindia/DI 
Finolex Ind,274.95,268.50,269.70,269.45,0.25,0.09,null,/india/stockpricequote/petrochemicals/finolexindustries/FI 
Symphony,2229.40,2200,2202.05,2200.05,2,0.09,null,/india/stockpricequote/consumergoods-whitegoods/symphony/SCS04 
Technofab Engg,197.95,180.35,185,184.85,0.15,0.09,null,/india/stockpricequote/engineering/technofabengineering/TE13 
Repco Home,667,661.05,663.90,663.40,0.50,0.08,null,/india/stockpricequote/finance-housing/repcohomefinance/RHF 
Som Distillerie,196,195,196,195.85,0.15,0.08,null,/india/stockpricequote/breweriesdistilleries/somdistilleriesbreweries/SDB 
Tourism Finance,75,72,73.55,73.50,0.05,0.08,null,/india/stockpricequote/finance-termlendinginstitutions/tourismfinancecorpindia/TFC 
HOV Services,154.05,148.55,148.90,148.80,0.10,0.07,null,/india/stockpricequote/computers-softwaremediumsmall/hovservices/HOV 
Hi-Tech Gears,298,293,295,294.80,0.20,0.07,null,/india/stockpricequote/autoancillaries/hi-techgears/HTG 
Bombay Dyeing,73.75,72.50,72.60,72.55,0.05,0.07,null,/india/stockpricequote/diversified/bombaydyeingmanufacturingcompany/BDM 
Ramcoind,75.80,71.65,74.90,74.85,0.05,0.07,null,/india/stockpricequote/cement-productsbuildingmaterials/ramcoindustries/RI26 
Flexituff Intl,218.50,218,218,217.85,0.15,0.07,null,/india/stockpricequote/packaging/flexituffinternational/FI08 
Kotak PSU Bank,367.95,367,367.95,367.73,0.22,0.07,null,/india/stockpricequote/finance-investments/kotakmahindramf-kotakpsubanketf/KMM 
Andhra Sugar,102.30,102.25,102.25,102.20,0.05,0.06,null,/india/stockpricequote/sugar/andhrasugars/AS18 
Hinduja Global,562,552.10,555,554.75,0.25,0.05,null,/india/stockpricequote/computers-software/hindujaglobalsolutions/HGS01 
Linde India,434.80,425.10,427.40,427.20,0.20,0.05,null,/india/stockpricequote/chemicals/lindeindia/BOC 
Elder Pharma,109,106.30,108.35,108.30,0.05,0.05,null,/india/stockpricequote/pharmaceuticals/elderpharmaceuticals/EP9 
Navneet,114.35,112,112.85,112.80,0.05,0.05,null,/india/stockpricequote/printingstationery/navneeteducation/NP01 
SRF,923.05,908,914,913.60,0.40,0.04,null,/india/stockpricequote/textiles-manmade/srf/SRF 
NIFTYBEES,868.50,866.50,868.15,867.79,0.36,0.04,null,/india/stockpricequote/finance-investments/goldmansachsniftyexchangetradedscheme/NBE01 
Century,581.55,571.10,573.50,573.25,0.25,0.04,null,/india/stockpricequote/diversified/centurytextilesindustries/CTI 
JagranPrakashan,131.05,129.05,129.75,129.70,0.05,0.04,null,/india/stockpricequote/mediaentertainment/jagranprakashan/JP12 
Karnataka Bank,128.05,125.50,127.50,127.45,0.05,0.04,null,/india/stockpricequote/banks-privatesector/karnatakabank/KB04 
DB Corp,372.90,363.30,367.90,367.80,0.10,0.04,null,/india/stockpricequote/mediaentertainment/dbcorp/C13 
Tech Mahindra,2840.45,2815.20,2818.85,2818.40,0.45,0.03,null,/india/stockpricequote/computers-software/techmahindra/TM4 
Bhartiya Inter,428.20,415.05,420.80,420.70,0.10,0.02,null,/india/stockpricequote/leatherproducts/bhartiyainternational/BI06 
Cummins,884,874.30,881.45,881.25,0.20,0.02,null,/india/stockpricequote/engines/cumminsindia/CI02 
HPCL,635.30,621.25,623,622.90,0.10,0.02,null,/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC 
Nestle,7347.90,7268,7299.95,7299,0.95,0.02,null,/india/stockpricequote/foodprocessing/nestleindia/NI 
Mindtree,1388,1363.70,1383.10,1382.95,0.15,0.01,null,/india/stockpricequote/computers-software/mindtree/MT13 
Gallantt Ispat,404.60,404.50,404.55,404.50,0.05,0.01,null,/india/stockpricequote/steel-spongeiron/gallanttispat/GI 
