Company Name,High,Low,Last Price,Prv Close,Change,% Gain,API
Clutch Auto,24.50,22.70,23.70,22.80,0.90,4.04,/india/stockpricequote/autoancillaries/clutchauto/CA02 
Jindal Poly Inv,111,106.80,111,106.80,4.20,3.95,/india/stockpricequote/finance-general/jindalpolyinvestmentfinancecompany/JPI02 
Savera Ind,48,45,47.70,45.90,1.80,3.93,/india/stockpricequote/hotels/saveraindustries/SH 
Liberty Shoes,267.40,254,266.90,256.85,10.05,3.92,/india/stockpricequote/leatherproducts/libertyshoes/LS02 
Nahar Poly Film,31.30,29,31,29.85,1.15,3.91,/india/stockpricequote/textiles-spinning-cottonblended/naharpolyfilms/NIH 
Jocil,129.80,123.30,129.80,125,4.80,3.85,/india/stockpricequote/miscellaneous/jocil/J01 
Jyoti Structure,41.80,39.50,41.20,39.70,1.50,3.84,/india/stockpricequote/power-transmissionequipment/jyotistructures/JS03 
Strides Arcolab,778.90,738.25,764,736.35,27.65,3.78,/india/stockpricequote/pharmaceuticals/stridesarcolab/SA10 
Pratibha Ind,54.70,53.60,54,52.05,1.95,3.76,/india/stockpricequote/constructioncontracting-civil/pratibhaindustries/PI33 
Vadilal Ind,286.85,271.10,281.45,271.40,10.05,3.75,/india/stockpricequote/foodprocessing/vadilalindustries/VI01 
Energy Dev,22.45,20.10,21.15,20.40,0.75,3.70,/india/stockpricequote/power-generationdistribution/energydevelopmentcompany/EDC 
Eveready Ind,193.80,181.95,189.60,182.95,6.65,3.68,/india/stockpricequote/drycells/evereadyindustriesindia/EII02 
Harrisons Malay,62.50,58.25,60.85,58.75,2.10,3.63,/india/stockpricequote/plantations-teacoffee/harrisonsmalyalam/HM02 
Jubilant Food,1452.50,1396.50,1452,1401.90,50.10,3.57,/india/stockpricequote/miscellaneous/jubilantfoodworks/JF04 
Tata Global Bev,162.40,155.70,160.80,155.30,5.50,3.57,/india/stockpricequote/plantations-teacoffee/tataglobalbeverage/TT 
Bafna Pharma,35.50,33.20,35.30,34.10,1.20,3.54,/india/stockpricequote/pharmaceuticals/bafnapharmaceuticals/BP01 
Voltamp Trans,738,687,713.95,689.70,24.25,3.52,/india/stockpricequote/power-transmissionequipment/voltamptransformers/VT9 
Automotive Axle,738,700,729.90,705.30,24.60,3.52,/india/stockpricequote/autoancillaries/automotiveaxles/AA06 
OCL Iron,22.70,22,22.55,21.80,0.75,3.49,/india/stockpricequote/steel-mediumsmall/oclironsteel/OCL03 
Exide Ind,163.25,157,162.80,157.40,5.40,3.44,/india/stockpricequote/autoancillaries/exideindustries/EI 
Kemrock Indus,35.05,33,34.80,33.65,1.15,3.43,/india/stockpricequote/plastics/kemrockindustriesexports/KIE 
Manaksia,134.90,128.05,133.25,128.85,4.40,3.42,/india/stockpricequote/steel-rolling/manaksia/M16 
Kiri Industries,109.10,105,109.10,105.55,3.55,3.41,/india/stockpricequote/dyespigments/kiriindustries/KDC01 
Sah Petroleums,42.90,40.40,41.50,40.15,1.35,3.36,/india/stockpricequote/oildrillingandexploration/sahpetroleums/SP36 
Abbott India,3499,3352,3485.75,3374,111.75,3.36,/india/stockpricequote/pharmaceuticals/abbottindia/AI51 
Monsanto India,2920,2837,2873,2782.35,90.65,3.31,/india/stockpricequote/pesticidesagrochemicals/monsantoindia/MI39 
Tips Industries,80.80,76.65,77.70,75.25,2.45,3.26,/india/stockpricequote/mediaentertainment/tipsindustries/TI25 
UCAL Fuel,144.40,139.80,141.25,136.85,4.40,3.26,/india/stockpricequote/autoancillaries/ucalfuelsystems/UFS 
JK Tyre & Ind,624,600,616.75,597.55,19.20,3.22,/india/stockpricequote/tyres/jktyreindustries/JKT01 
Bannari A Spg,186,178,183,177.35,5.65,3.21,/india/stockpricequote/textiles-general/bannariammanspinningmills/BAS01 
Hindalco,174.55,168.80,174.55,169.15,5.40,3.19,/india/stockpricequote/aluminium/hindalcoindustries/HI 
Royal Orchid,42,39.15,42,40.70,1.30,3.19,/india/stockpricequote/hotels/royalorchidhotels/RO01 
TVS Motor,228.95,218.30,228,221,7,3.19,/india/stockpricequote/auto-23wheelers/tvsmotorcompany/TVS 
AXISCADES Engg,175.65,167.10,173,167.70,5.30,3.17,/india/stockpricequote/computers-softwaremediumsmall/axiscadesengineeringtechnologies/AXI 
Tata Elxsi,633.30,602.25,623,603.95,19.05,3.16,/india/stockpricequote/computers-software/tataelxsi/TE 
Surya Roshni,94.80,89.60,93.05,90.25,2.80,3.15,/india/stockpricequote/steel-tubespipes/suryaroshni/SR01 
Vakrangee,135,129.25,133.40,129.40,4,3.10,/india/stockpricequote/computers-softwaremediumsmall/vakrangee/VS 
SREI Infra,45.60,43.60,45.10,43.75,1.35,3.09,/india/stockpricequote/finance-leasinghirepurchase/sreiinfrastructurefinance/SRE02 
KRBL,97.50,93.15,96,93.15,2.85,3.09,/india/stockpricequote/foodprocessing/krbl/KRB01 
Mandhana Ind,298,287.15,295.95,287.20,8.75,3.06,/india/stockpricequote/textiles-general/mandhanaindustries/MI24 
HPCL,552,529.50,546,529.85,16.15,3.05,/india/stockpricequote/refineries/hindustanpetroleumcorporation/HPC 
Archidply Ind,40.65,36.15,39,37.85,1.15,3.05,/india/stockpricequote/miscellaneous/archidplyindustries/AI 
Sudarshan Chem,108.45,99.70,103.70,100.80,2.90,3.04,/india/stockpricequote/dyespigments/sudarshanchemicalindustries/SCI08 
AIA Engineering,1198.40,1130.20,1180.10,1147.05,33.05,2.88,/india/stockpricequote/engineering-heavy/aiaengineering/AIE01 
Shasun Pharma,227.80,217.70,225,218.75,6.25,2.88,/india/stockpricequote/pharmaceuticals/shasunpharmaceuticals/SCD 
NELCO,98.50,94.10,97.20,94.50,2.70,2.86,/india/stockpricequote/telecommunications-equipment/nelco/NEL 
Vindhya Telelin,498,481.05,498,484.20,13.80,2.86,/india/stockpricequote/cables-telephone/vindhyatelelink/VT03 
Orient Refract,104.90,99.55,104.60,101.75,2.85,2.85,/india/stockpricequote/cement-productsbuildingmaterials/orientrefractories/OR01 
Texmaco Rail,124.50,121.20,122.85,119.50,3.35,2.80,/india/stockpricequote/infrastructure-general/texmacorailengineering/TRE 
VTM,25.75,24.85,25.75,25.05,0.70,2.80,/india/stockpricequote/textiles-hosieryknitwear/vtm/VTM 
Cimmco,73.80,68.25,70.25,68.35,1.90,2.79,/india/stockpricequote/diversified/cimmco/CB02 
Linde India,423.75,407.05,420,408.75,11.25,2.78,/india/stockpricequote/chemicals/lindeindia/BOC 
Global Offshore,633.30,610,627.90,611.30,16.60,2.75,/india/stockpricequote/shipping/globaloffshoreservices/GOS 
Asian Granito,160.50,154,157,152.90,4.10,2.72,/india/stockpricequote/ceramicsgranite/asiangranitoindia/AGI04 
Pondy Oxides,51.05,49.45,50,48.70,1.30,2.68,/india/stockpricequote/chemicals/pondyoxides/PO03 
Nahar Spinning,104.40,99.50,101.15,98.55,2.60,2.67,/india/stockpricequote/textiles-hosieryknitwear/naharspinningmills/NSM 
Vaibhav Global,619,599.10,617,601.15,15.85,2.64,/india/stockpricequote/miscellaneous/vaibhavglobal/VG02 
Aegis Logistics,458.75,433.10,455,443.40,11.60,2.64,/india/stockpricequote/transportlogistics/aegislogistics/AL9 
Ganesh Housing,145.50,139.90,142.05,138.45,3.60,2.62,/india/stockpricequote/constructioncontracting-housing/ganeshhousingcorporation/GHC02 
Motor and Gen F,39.60,39.60,39.60,38.60,1,2.60,/india/stockpricequote/finance-leasinghirepurchase/motorgeneralfinance/MGF 
Jindal Stainles,32.35,30.90,31.70,30.90,0.80,2.59,/india/stockpricequote/steel-mediumsmall/jindalstainless/JSL01 
Oriental Hotels,24.15,23.50,23.80,23.20,0.60,2.59,/india/stockpricequote/hotels/orientalhotels/OH 
Onward Tech,58.90,56.20,58.30,56.85,1.45,2.59,/india/stockpricequote/computers-softwaremediumsmall/onwardtechnologies/OT 
Man Infra,35.20,32.35,34.15,33.30,0.85,2.55,/india/stockpricequote/constructioncontracting-civil/maninfraconstruction/MI37 
Trident,29.50,27.75,28.35,27.65,0.70,2.55,/india/stockpricequote/textiles-spinning-cottonblended/trident/AI01 
Shirpur Gold,83.70,80,83.70,81.65,2.05,2.53,/india/stockpricequote/miningminerals/shirpurgoldrefinery/AGR 
Igarashi Motors,307,300,300.90,293.65,7.25,2.51,/india/stockpricequote/electricequipment/igarashimotors/IM01 
Amtek Auto,206,200,203.75,198.90,4.85,2.47,/india/stockpricequote/autoancillaries/amtekauto/AA01 
Ratnamani Metal,589.85,566,581,567.20,13.80,2.44,/india/stockpricequote/steel-tubespipes/ratnamanimetalstubes/RMT 
PG Electroplast,95,94.90,95,92.75,2.25,2.43,/india/stockpricequote/consumergoods-electronic/pgelectroplast/PE06 
KPR Mill,331.95,322.95,328.20,320.40,7.80,2.43,/india/stockpricequote/textiles-readymadeapparels/kprmill/M15 
RPP Infra Proj,143,138.25,139.45,136.15,3.30,2.43,/india/stockpricequote/constructioncontracting-civil/rppinfraprojects/RIP01 
Berger Paints,384.20,374.30,381.25,372.25,9,2.42,/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02 
Gabriel India,92.15,88.20,91.10,88.95,2.15,2.42,/india/stockpricequote/autoancillaries/gabrielindia/GI02 
Cybertech,51.85,48.95,51,49.80,1.20,2.42,/india/stockpricequote/computers-softwaremediumsmall/cybertechsystemssoftware/CSS 
Ramcoind,82.30,78.65,80.50,78.65,1.85,2.41,/india/stockpricequote/cement-productsbuildingmaterials/ramcoindustries/RI26 
Revathi CP,353,344.80,353,344.90,8.10,2.35,/india/stockpricequote/compressors/revathicpequipment/RCP 
West Coast Papr,61.75,59.20,60.90,59.50,1.40,2.35,/india/stockpricequote/paper/westcoastpapermills/WCP 
India Nippon,459,437,450,439.70,10.30,2.35,/india/stockpricequote/autoancillaries/indianipponelectricals/INE 
Parrys Sugar,22.20,20.50,22,21.50,0.50,2.34,/india/stockpricequote/miningminerals/parryssugarindustries/GMR01 
Visagar Polytex,767.05,737,739.05,722.20,16.85,2.33,/india/stockpricequote/finance-investments/visagarpolytex/VP10 
IFGL Refractory,164.70,157.75,161,157.35,3.65,2.33,/india/stockpricequote/cement-productsbuildingmaterials/ifglrefractories/IFG 
Fedders Lloyd,73.80,71.85,73,71.35,1.65,2.32,/india/stockpricequote/consumergoods-whitegoods/fedderslloyd/FL 
Welspun Corp,77,73.65,75.65,73.95,1.70,2.31,/india/stockpricequote/steel-tubespipes/welspuncorp/WGS 
Bharat Bijlee,561.90,534.20,549,536.65,12.35,2.30,/india/stockpricequote/electricequipment/bharatbijlee/BB 
Titagarh Wagons,334.40,324.10,328.95,321.55,7.40,2.30,/india/stockpricequote/infrastructure-general/titagarhwagons/TW04 
Steel Str Wheel,380.80,348,368.50,360.25,8.25,2.30,/india/stockpricequote/autoancillaries/steelstripswheels/SSW02 
BSL,35,33.25,34,33.25,0.75,2.29,/india/stockpricequote/textiles-weaving/bsl/BSL 
Oudh Sugar Mill,23.40,21.95,22.60,22.10,0.50,2.26,/india/stockpricequote/sugar/oudhsugarmills/OSM 
Solar Ind,2650,2550,2630.50,2572.40,58.10,2.26,/india/stockpricequote/chemicals/solarindustriesindia/SII04 
JM Financial,52.80,49.75,52.15,51,1.15,2.26,/india/stockpricequote/finance-investments/jmfinancial/JMF 
GRUH Finance,260,234.20,254.95,249.35,5.60,2.25,/india/stockpricequote/finance-housing/gruhfinance/GRU 
DQ Entertain,25,24.10,25,24.45,0.55,2.25,/india/stockpricequote/mediaentertainment/dqentertainmentinternational/DEI01 
Tata Comm,461.70,449.80,457.80,447.85,9.95,2.25,/india/stockpricequote/telecommunications-service/tatacommunications/TC17 
TCI Developers,288.25,275.05,288.25,282.05,6.20,2.22,/india/stockpricequote/constructioncontracting-realestate/tcidevelopers/TCI07 
Sunflag Iron,28,27.35,28,27.40,0.60,2.20,/india/stockpricequote/steel-rolling/sunflagironsteelcompany/SIS05 
TIL,415,403.30,405,396.35,8.65,2.19,/india/stockpricequote/engineering-heavy/til/TIL 
PNB,995.15,960.75,990.40,969.35,21.05,2.18,/india/stockpricequote/banks-publicsector/punjabnationalbank/PNB05 
Ramco System,449.95,423,435.90,426.65,9.25,2.17,/india/stockpricequote/computers-software/ramcosystem/RS17 
KSB Pumps,574.95,545.40,571.50,559.45,12.05,2.17,/india/stockpricequote/pumps/ksbpumps/KSB 
Indo Count,342.95,323.50,336.20,329.15,7.05,2.15,/india/stockpricequote/textiles-spinning-cottonblended/indocountindustries/ICI07 
Hexa Tradex,23.95,22.95,23.95,23.45,0.50,2.14,/india/stockpricequote/finance-investments/hexatradex/HT03 
Federal Bank,147.20,142.50,146.55,143.50,3.05,2.13,/india/stockpricequote/banks-privatesector/federalbank/FB 
Store One,41.80,40.30,40.90,40.05,0.85,2.13,/india/stockpricequote/textiles-readymadeapparels/storeoneretailindia/IRS01 
Heritage Foods,407.40,393,402,393.70,8.30,2.12,/india/stockpricequote/foodprocessing/heritagefoods/HFI 
Kalindee Rail,120.40,117.50,118.55,116.10,2.45,2.11,/india/stockpricequote/engineering/kalindeerailnirman(engineers)/KRN 
Madhav Marbles,51.45,48.20,50.85,49.80,1.05,2.11,/india/stockpricequote/ceramicsgranite/madhavmarblesgranites/MMG 
CCL Products,147,141.70,145.10,142.10,3,2.11,/india/stockpricequote/plantations-teacoffee/cclproductsindia/CC10 
AGC Networks,87,81.90,85.10,83.35,1.75,2.11,/india/stockpricequote/computers-software/agcnetworks/AGC 
NBCC,814.80,791.70,803.10,786.55,16.55,2.10,/india/stockpricequote/infrastructure-general/nationalbuildingsconstructioncorporation/NBC01 
Lumax Inds,412,404.15,408.90,400.50,8.40,2.10,/india/stockpricequote/autoancillaries/lumaxindustries/LI05 
Saksoft,144.55,127.50,134.20,131.45,2.75,2.10,/india/stockpricequote/computers-software/saksoft/S12 
VIP Industries,104,101.05,103.70,101.60,2.10,2.09,/india/stockpricequote/plastics/vipindustries/VIP 
Pricol,45.20,43.70,44.65,43.75,0.90,2.07,/india/stockpricequote/autoancillaries/pricol/P9 
Granules India,795,776,789,773.10,15.90,2.06,/india/stockpricequote/pharmaceuticals/granulesindia/GI25 
Bata India,1269.50,1239.05,1263.15,1237.80,25.35,2.06,/india/stockpricequote/leatherproducts/bataindia/BI01 
Aditya Birla Ch,250,230,238,233.25,4.75,2.05,/india/stockpricequote/chemicals/adityabirlachemicals/ABC08 
PDS Multi,153.25,148,149,146.05,2.95,2.04,/india/stockpricequote/textiles-general/pdsmultinationalfashions/PDS 
Shanthi Gears,141.60,136.20,139.05,136.30,2.75,2.02,/india/stockpricequote/engineering/shanthigears/SG04 
Indo Rama Synth,20.40,19.80,20.30,19.90,0.40,2.02,/india/stockpricequote/textiles-spinning-syntheticblended/indoramasynthetics(india)/IRS 
Shivam Auto,80,70.65,73.90,72.45,1.45,2.01,/india/stockpricequote/autoancillaries/shivamautotech/SA13 
ARSS Infra,39,37.20,38.35,37.60,0.75,2,/india/stockpricequote/constructioncontracting-civil/arssinfrastructureprojects/AIP 
EIH Assoc Hotel,219.90,216,219.50,215.25,4.25,1.99,/india/stockpricequote/hotels/eihassociatedhotels/EIH01 
India Glycols,120.80,116.20,119,116.70,2.30,1.97,/india/stockpricequote/chemicals/indiaglycols/IG 
Uniphos Ent,29.55,27.85,28.50,27.95,0.55,1.97,/india/stockpricequote/trading/uniphosenterprises/UE 
Federal-Mogul,398.95,388.40,396,388.40,7.60,1.97,/india/stockpricequote/autoancillaries/federal-mogulgoetze/FMG 
Edelweiss,52.70,50.75,52,51,1,1.96,/india/stockpricequote/finance-general/edelweissfinancialservices/EC01 
Pitti Laminatio,54.95,54.95,54.95,53.90,1.05,1.96,/india/stockpricequote/engineering/pittilaminations/PL 
Onelife Capital,173.45,165.60,169.55,166.30,3.25,1.95,/india/stockpricequote/finance-investments/onelifecapitaladvisors/OCA 
J Kumar Infra,452,431.40,439,430.65,8.35,1.95,/india/stockpricequote/constructioncontracting-civil/jkumarinfraprojects/KI01 
Universal Cable,49.95,48,49.95,49,0.95,1.94,/india/stockpricequote/cables-powerothers/universalcables/UC 
Dynamatic Tech,2140,2052.30,2140,2099.50,40.50,1.94,/india/stockpricequote/pumps/dynamatictechnologies/DT05 
Harita Seating,173.90,169,171.85,168.60,3.25,1.93,/india/stockpricequote/autoancillaries/haritaseatingsystems/HSS02 
PTC India Fin,56.20,55,55.60,54.55,1.05,1.93,/india/stockpricequote/finance-termlendinginstitutions/ptcindiafinancialservices/PIF02 
Indian Card,110,108.10,110,107.95,2.05,1.92,/india/stockpricequote/textiles-machinery/indiancardclothing/ICC01 
Jayshree Tea,92.50,89.70,91.25,89.55,1.70,1.90,/india/stockpricequote/plantations-teacoffee/jayshreeteaindustries/JTI 
Alchemist,38.45,36.40,37.80,37.10,0.70,1.90,/india/stockpricequote/miscellaneous/alchemist/A12 
Hind Rectifiers,81,76.60,78,76.55,1.45,1.89,/india/stockpricequote/electricals/hindrectifiers/HR01 
Esab India,643.95,636.95,640,628.20,11.80,1.89,/india/stockpricequote/electrodesgraphite/esabindia/EI06 
Power Grid Corp,141.75,139.35,141.75,139.15,2.60,1.88,/india/stockpricequote/power-generationdistribution/powergridcorporationindia/PGC 
Gammon India,33,31.60,32.75,32.15,0.60,1.87,/india/stockpricequote/constructioncontracting-civil/gammonindia/GI03 
BPCL,731.90,710,720.85,707.60,13.25,1.87,/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC 
Aarti Ind,286.95,275,285.70,280.50,5.20,1.87,/india/stockpricequote/chemicals/aartiindustries/AI45 
Tata Chemicals,431.40,422,429.85,422.05,7.80,1.85,/india/stockpricequote/chemicals/tatachemicals/TC 
Hinduja Found,44,42.75,43.95,43.15,0.80,1.85,/india/stockpricequote/castingsforgings/hindujafoundries/HF10 
Piramal Phytoca,35.85,35,35.75,35.10,0.65,1.85,/india/stockpricequote/pharmaceuticals/piramalphytocare/PLS 
M&M Financial,303.50,293.55,301,295.55,5.45,1.85,/india/stockpricequote/finance-leasinghirepurchase/mahindramahindrafinancialservices/MMF04 
Indiabulls Real,78.70,76.50,78.10,76.70,1.40,1.84,/india/stockpricequote/constructioncontracting-realestate/indiabullsrealestate/IRE01 
Natco Pharma,1350,1306.15,1341,1316.90,24.10,1.83,/india/stockpricequote/pharmaceuticals/natcopharma/NP07 
Orient Cement,153.80,143.30,147.25,144.60,2.65,1.83,/india/stockpricequote/cement-major/orientcement/OC10 
NDTV,121.40,117.35,120.35,118.20,2.15,1.83,/india/stockpricequote/mediaentertainment/newdelhitelevision/NDT01 
IOC,350.80,342,349.20,343,6.20,1.82,/india/stockpricequote/refineries/indianoilcorporation/IOC 
Selan Explore,404.40,393.25,403,395.85,7.15,1.81,/india/stockpricequote/oildrillingandexploration/selanexplorationtechnology/SET 
Welspun Invest,39.75,35.60,36.80,36.15,0.65,1.81,/india/stockpricequote/finance-investments/welspuninvestmentscommercials/WIC01 
Essar Ports,96.40,92.40,96,94.30,1.70,1.80,/india/stockpricequote/infrastructure-general/essarports/ESP 
Siti Cable,28.50,27.75,28.35,27.85,0.50,1.80,/india/stockpricequote/mediaentertainment/siticablenetwork/WWI 
Smartlink Net,74.70,70.20,73.75,72.45,1.30,1.80,/india/stockpricequote/computers-hardware/smartlinknetworksystems/SNS01 
EngineersInd,229.50,222.05,226.60,222.65,3.95,1.79,/india/stockpricequote/infrastructure-general/engineersindia/EI14 
HUL,786.95,766.80,783.40,769.75,13.65,1.77,/india/stockpricequote/personalcare/hindustanunilever/HU 
Kernex Micro,64.90,63.60,64.45,63.35,1.10,1.77,/india/stockpricequote/computers-softwaremediumsmall/kernexmicrosystems(india)/KMI 
Banswara Syntex,73,72.70,73,71.75,1.25,1.74,/india/stockpricequote/textiles-spinning-syntheticblended/banswarasyntex/BS01 
LIC Housing Fin,412.50,400.80,408.30,401.35,6.95,1.74,/india/stockpricequote/finance-housing/lichousingfinance/LIC 
Kesar Terminals,435.50,422,430.20,422.90,7.30,1.73,/india/stockpricequote/miscellaneous/kesarterminalsinfrastructure/KTI04 
Rossell India,102.75,99.55,100.95,99.25,1.70,1.73,/india/stockpricequote/plantations-teacoffee/rossellindia/RT08 
Uflex,165.80,159.10,163.30,160.55,2.75,1.71,/india/stockpricequote/packaging/uflex/U01 
Essar Shipping,21.25,20.35,21,20.65,0.35,1.71,/india/stockpricequote/shipping/essarshipping/ES10 
Maral Overseas,21.20,20.45,21,20.65,0.35,1.69,/india/stockpricequote/textiles-spinning-cottonblended/maraloverseas/MO 
Archies,30.40,29.45,30.15,29.65,0.50,1.69,/india/stockpricequote/printingstationery/archies/A15 
Kirloskar Oil,285,276.35,284,279.30,4.70,1.69,/india/stockpricequote/engines/kirloskaroilengines/KOE03 
Mcleod,250.75,245.10,249.15,245.05,4.10,1.68,/india/stockpricequote/plantations-teacoffee/mcleodrussel(india)/MRI02 
NFL,37.35,35.75,36.85,36.25,0.60,1.67,/india/stockpricequote/fertilisers/nationalfertilizers/NF06 
PNB Gilts,27.75,27.45,27.75,27.30,0.45,1.66,/india/stockpricequote/finance-investments/pnbgilts/PNB04 
Zee Learn,34.20,33.05,33.80,33.25,0.55,1.65,/india/stockpricequote/computers-software-training/zeelearn/ZL01 
Tata Metaliks,153.80,147.60,150.50,148.05,2.45,1.65,/india/stockpricequote/steel-pigiron/tatametaliks/TM 
Vardhman Poly,53,51.30,52.95,52.10,0.85,1.65,/india/stockpricequote/textiles-spinning-cottonblended/vardhmanpolytex/VP09 
Merck,798.95,770.10,790.45,777.85,12.60,1.63,/india/stockpricequote/pharmaceuticals/merck/M12 
Bombay Rayon,135.90,131.50,135,132.85,2.15,1.62,/india/stockpricequote/textiles-general/bombayrayonfashions/BRF 
Technocraft Ind,189.95,183.20,188,185,3,1.62,/india/stockpricequote/steel-mediumsmall/technocraftindustries(india)/TII01 
ICICI Nifty ETF,88.80,85.55,86.48,85.10,1.38,1.62,/india/stockpricequote/miscellaneous/icicipmfniftyetf-growth/ICI11 
Indo-National,795.80,789.45,795.30,782.70,12.60,1.62,/india/stockpricequote/drycells/indo-national/NBC 
NESCO,1286.85,1251,1269.90,1249.90,20,1.61,/india/stockpricequote/diversified/nesco/NES 
Lypsa Gems,71.20,69.95,69.95,68.85,1.10,1.60,/india/stockpricequote/diamondcuttingpreciousmetalsjewellery/lypsagemsjewellery/LGJ 
Kalyani Steels,164.75,158,161.75,159.20,2.55,1.60,/india/stockpricequote/steel-rolling/kalyanisteels/KS01 
Dishman Pharma,147.30,140.55,144,141.75,2.25,1.60,/india/stockpricequote/pharmaceuticals/dishmanpharmaceuticalschemicals/DPC02 
Amara Raja Batt,773.70,747.30,761,749.10,11.90,1.59,/india/stockpricequote/autoancillaries/amararajabatteries/ARB 
Sharda Crop,280.70,270,276,271.70,4.30,1.59,/india/stockpricequote/pesticidesagrochemicals/shardacropchem/SC04 
Wockhardt,829,809.95,822,809.30,12.70,1.58,/india/stockpricequote/pharmaceuticals/wockhardt/W05 
Shoppers Stop,503.40,481.40,492.55,484.95,7.60,1.57,/india/stockpricequote/retail/shoppersstop/SS51 
Vardhman Text,421.30,411.40,420.70,414.20,6.50,1.57,/india/stockpricequote/textiles-spinning-cottonblended/vardhmantextiles/VT10 
Capri Global,217.80,208,209.60,206.35,3.25,1.57,/india/stockpricequote/finance-general/capriglobalcapital/MMF05 
TVS Srichakra,1630,1580,1598.75,1574.55,24.20,1.57,/india/stockpricequote/tyres/tvssrichakra/TVS03 
Prestige Estate,254.05,244.15,249.25,245.50,3.75,1.54,/india/stockpricequote/constructioncontracting-realestate/prestigeestatesprojects/PEP02 
Kabra Extrusion,84.90,80.65,83,81.75,1.25,1.53,/india/stockpricequote/engineering-heavy/kabraextrusiontechnik/KET 
Lakshmi Machine,4329.40,4232.10,4292.85,4228.65,64.20,1.53,/india/stockpricequote/textiles-machinery/lakshmimachineworks/LMW 
Welspun Ent,352.15,343,345.95,340.80,5.15,1.52,/india/stockpricequote/miscellaneous/welspunenterprises/WE01 
Reliance Comm,105.20,102.25,104.50,102.95,1.55,1.51,/india/stockpricequote/telecommunications-service/reliancecommunications/RC13 
Punjab Chemical,103.80,100,101.50,100,1.50,1.51,/india/stockpricequote/chemicals/punjabchemicalscropprotection/PCC03 
Radico Khaitan,83.20,80.10,81.40,80.20,1.20,1.50,/india/stockpricequote/breweriesdistilleries/radicokhaitan/RK01 
Britannia,1679,1642.10,1676.85,1652.05,24.80,1.50,/india/stockpricequote/foodprocessing/britanniaindustries/BI 
Helios and Mat,100.50,96.50,98.60,97.15,1.45,1.50,/india/stockpricequote/computers-softwaremediumsmall/heliosmathesoninformationtechnology/HMI 
Marksans Pharma,59.90,57.65,59,58.15,0.85,1.49,/india/stockpricequote/pharmaceuticals/marksanspharma/MP21 
Chambal Fert,64,62.70,63.70,62.80,0.90,1.46,/india/stockpricequote/fertilisers/chambalfertiliserschemicals/CFC 
Zydus Wellness,714,693.15,710,700.05,9.95,1.43,/india/stockpricequote/vanaspatioils/zyduswellness/ZW01 
Indian Metals,221,210.40,216.30,213.30,3,1.42,/india/stockpricequote/miningminerals/indianmetalsferroalloys/IMF01 
Adhunik Metalik,29.50,28.50,29.25,28.85,0.40,1.41,/india/stockpricequote/steel-spongeiron/adhunikmetaliks/AM9 
C & C Construct,39.90,36,36.70,36.20,0.50,1.39,/india/stockpricequote/constructioncontracting-civil/ccconstructions/CCC01 
Atlas Cycles,273,267.10,270.30,266.65,3.65,1.38,/india/stockpricequote/miscellaneous/atlascycleindustries/ACI08 
Atul Auto,464.75,454,462.90,456.70,6.20,1.37,/india/stockpricequote/auto-23wheelers/atulauto/AA08 
Shalimar Paints,158.80,155.50,157,154.90,2.10,1.36,/india/stockpricequote/paintsvarnishes/shalimarpaints/SP13 
R Shares Bank,1960,1933.60,1960,1933.65,26.35,1.36,/india/stockpricequote/finance-investments/r*sharesbankingetf/RMF02 
Fortis Health,108.75,106.25,107.95,106.50,1.45,1.36,/india/stockpricequote/hospitalsmedicalservices/fortishealthcare/FH 
Kothari Product,219.80,214.70,219.80,216.85,2.95,1.36,/india/stockpricequote/cigarettes/kothariproducts/KP06 
MM Forgings,528,514.40,526.65,519.60,7.05,1.36,/india/stockpricequote/castingsforgings/mmforgings/MMF 
SML Isuzu,917.90,886.05,895.05,883,12.05,1.36,/india/stockpricequote/auto-lcvshcvs/smlisuzu/SM 
Som Distillerie,211.45,203.15,205.75,203,2.75,1.36,/india/stockpricequote/breweriesdistilleries/somdistilleriesbreweries/SDB 
Williamson Mago,73.05,69.60,71.75,70.80,0.95,1.35,/india/stockpricequote/finance-investments/williamsonmagorcompany/WMC 
Mangalam Cement,317.40,308.05,314.85,310.70,4.15,1.34,/india/stockpricequote/cement-major/mangalamcement/MC03 
Surana Solar,49.90,45,45.70,45.10,0.60,1.34,/india/stockpricequote/miscellaneous/suranasolar/SV05 
CMC,2010,1979.60,2001,1974.75,26.25,1.33,/india/stockpricequote/computers-hardware/cmc/CMC 
Bodal Chemicals,31.20,28.65,30.55,30.15,0.40,1.33,/india/stockpricequote/dyespigments/bodalchemicals/BC15 
JSW Energy,93.80,90.40,91.80,90.60,1.20,1.33,/india/stockpricequote/power-generationdistribution/jswenergy/JE01 
MOSt NASDAQ 100,266,262,265.95,262.50,3.45,1.32,/india/stockpricequote/finance-investments/motilaloswalmostsharesnasdaq100etf/MOM02 
Manjushree Tech,404,397,403,397.80,5.20,1.31,/india/stockpricequote/packaging/manjushreetechnopack/MT14 
Sanghvi Movers,174,168.50,170.25,168.05,2.20,1.31,/india/stockpricequote/engineering-heavy/sanghvimovers/SM10 
Taj GVK Hotels,91.35,88.30,89.40,88.25,1.15,1.31,/india/stockpricequote/hotels/tajgvkhotelsresorts/TGV 
