CompanyName,CurrentPrice,DayVolume,FiveDayAvgVolume,TenDayAvgVolume,ThirtyDayAvgVolume,VolumeRating,EPS,EPSRating,StandaloneProfit,Recommendation,News,API
Energy Dev,21.15,2412,16795,10828,5303,3 star,0.80,1 star,,,14.11.2014@ Energy Development appoints Bijay Kumar Garodia as additional director,http://www.moneycontrol.com/india/stockpricequote/power-generationdistribution/energydevelopmentcompany/EDC
Jindal Poly Inv,111,1232,4374,7712,5417,2 star,7.02,1 star,Yes,,14.08.2014@ Jindal Poly Inv standalone Jun '14 sales at Rs 0.15 crore,http://www.moneycontrol.com/india/stockpricequote/finance-general/jindalpolyinvestmentfinancecompany/JPI02
Eveready Ind,189.60,1836818,1488025,1194624,808650,5 star,1.87,1 star,,,24.11.2014@ To spend Rs 40-50 cr for brand building in FY16: Eveready,http://www.moneycontrol.com/india/stockpricequote/drycells/evereadyindustriesindia/EII02
Eveready Ind,189.60,1836818,1488025,1194624,808650,5 star,1.87,1 star,,,24.11.2014@ To spend Rs 40-50 cr for brand building in FY16: Eveready,http://www.moneycontrol.com/india/stockpricequote/drycells/evereadyindustriesindia/EII02
Jubilant Food,1452,249985,239060,328362,250823,2 star,19.22,1 star,,BUY,26.11.2014@ Buy Jubilant Foodworks: Sahil Kapoor,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/jubilantfoodworks/JF04
Harrisons Malay,60.85,73418,35415,50105,45984,4 star,2.39,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/harrisonsmalyalam/HM02
Jubilant Food,1452,249985,239060,328362,250823,2 star,19.22,1 star,,BUY,26.11.2014@ Buy Jubilant Foodworks: Sahil Kapoor,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/jubilantfoodworks/JF04
Harrisons Malay,60.85,73418,35415,50105,45984,4 star,2.39,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/harrisonsmalyalam/HM02
Bafna Pharma,35.30,29665,132688,132152,74510,3 star,0.72,1 star,,,19.11.2014@ Bafna Pharmaceuticals: Updates on credit rating by CRISIL,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bafnapharmaceuticals/BP01
Bafna Pharma,35.30,29665,132688,132152,74510,3 star,0.72,1 star,,,19.11.2014@ Bafna Pharmaceuticals: Updates on credit rating by CRISIL,http://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bafnapharmaceuticals/BP01
Tata Global Bev,160.80,4007183,1676568,2312338,2319660,4 star,7.23,1 star,Yes,,06.11.2014@ Tata Global Beverages Q2 net down 65% to Rs 62.45 crore,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/tataglobalbeverage/TT
Automotive Axle,729.90,8218,37645,31042,17835,3 star,8.40,1 star,,,25.11.2014@ Automotive Axle recommends final dividend of Rs 2.50/share,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/automotiveaxles/AA06
Tata Global Bev,160.80,4007183,1676568,2312338,2319660,4 star,7.23,1 star,Yes,,06.11.2014@ Tata Global Beverages Q2 net down 65% to Rs 62.45 crore,http://www.moneycontrol.com/india/stockpricequote/plantations-teacoffee/tataglobalbeverage/TT
Voltamp Trans,713.95,12500,7045,6661,4583,5 star,25.98,2 star,,SELL,14.11.2014@ Sell Voltamp; target of Rs 660: Kotak Securities,http://www.moneycontrol.com/india/stockpricequote/power-transmissionequipment/voltamptransformers/VT9
Automotive Axle,729.90,8218,37645,31042,17835,3 star,8.40,1 star,,,25.11.2014@ Automotive Axle recommends final dividend of Rs 2.50/share,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/automotiveaxles/AA06
OCL Iron,22.55,85,10116,12121,11494,2 star,0.10,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/steel-mediumsmall/oclironsteel/OCL03
Voltamp Trans,713.95,12500,7045,6661,4583,5 star,25.98,2 star,,SELL,14.11.2014@ Sell Voltamp; target of Rs 660: Kotak Securities,http://www.moneycontrol.com/india/stockpricequote/power-transmissionequipment/voltamptransformers/VT9
OCL Iron,22.55,85,10116,12121,11494,2 star,0.10,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/steel-mediumsmall/oclironsteel/OCL03
Manaksia,133.25,258237,417172,229694,138285,3 star,5.68,1 star,Yes,,11.11.2014@ Manaksia consolidated Sep '14 sales at Rs 412.17 crore,http://www.moneycontrol.com/india/stockpricequote/steel-rolling/manaksia/M16
Sah Petroleums,41.50,102500,863265,781342,292880,3 star,0.20,1 star,Yes,,14.11.2014@ Sah Petroleums standalone Sep '14 sales at Rs 110.84 crore,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/sahpetroleums/SP36
Monsanto India,2873,32447,23114,20187,30960,4 star,71.19,3 star,,,27.11.2014@ Monsanto up 2.7% after govt says no ban on GM field trials,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/monsantoindia/MI39
UCAL Fuel,141.25,162961,331252,373637,225611,2 star,3.72,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/ucalfuelsystems/UFS
JK Tyre & Ind,616.75,942601,1479311,1010414,917063,3 star,32.80,2 star,,HOLD,25.11.2014@ Hold JK Tyre may test Rs 700-750: Nooresh Merani,http://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01
JK Tyre & Ind,616.75,942601,1479311,1010414,917063,3 star,32.80,2 star,,HOLD,25.11.2014@ Hold JK Tyre may test Rs 700-750: Nooresh Merani,http://www.moneycontrol.com/india/stockpricequote/tyres/jktyreindustries/JKT01
Bannari A Spg,183,4097,62329,41707,18885,3 star,20.04,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/textiles-general/bannariammanspinningmills/BAS01
Bannari A Spg,183,4097,62329,41707,18885,3 star,20.04,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/textiles-general/bannariammanspinningmills/BAS01
Sah Petroleums,41.50,102500,863265,781342,292880,3 star,0.20,1 star,Yes,,14.11.2014@ Sah Petroleums standalone Sep '14 sales at Rs 110.84 crore,http://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/sahpetroleums/SP36
Monsanto India,2873,32447,23114,20187,30960,4 star,71.19,3 star,,,27.11.2014@ Monsanto up 2.7% after govt says no ban on GM field trials,http://www.moneycontrol.com/india/stockpricequote/pesticidesagrochemicals/monsantoindia/MI39
Manaksia,133.25,258237,417172,229694,138285,3 star,5.68,1 star,Yes,,11.11.2014@ Manaksia consolidated Sep '14 sales at Rs 412.17 crore,http://www.moneycontrol.com/india/stockpricequote/steel-rolling/manaksia/M16
UCAL Fuel,141.25,162961,331252,373637,225611,2 star,3.72,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/ucalfuelsystems/UFS
Hindalco,174.55,8982093,8631663,9175292,9150164,2 star,6.85,1 star,,,27.11.2014@ Coal scam: CBI files Hindalco case diary in sealed cover,http://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI
Hindalco,174.55,8982093,8631663,9175292,9150164,2 star,6.85,1 star,,,27.11.2014@ Coal scam: CBI files Hindalco case diary in sealed cover,http://www.moneycontrol.com/india/stockpricequote/aluminium/hindalcoindustries/HI
TVS Motor,228,1930389,2124061,3125581,2772744,2 star,5.51,1 star,,,24.11.2014@ Accumulate TVS Motor; target of Rs 259: Kotak Securities,http://www.moneycontrol.com/india/stockpricequote/auto-23wheelers/tvsmotorcompany/TVS
AXISCADES Engg,173,102971,249182,465330,185942,2 star,4.11,1 star,Yes,,12.11.2014@ AXISCADES Engg consolidated Sep '14 total income from operations at Rs 79.39 crore,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/axiscadesengineeringtechnologies/AXI
TVS Motor,228,1930389,2124061,3125581,2772744,2 star,5.51,1 star,,,24.11.2014@ Accumulate TVS Motor; target of Rs 259: Kotak Securities,http://www.moneycontrol.com/india/stockpricequote/auto-23wheelers/tvsmotorcompany/TVS
AXISCADES Engg,173,102971,249182,465330,185942,2 star,4.11,1 star,Yes,,12.11.2014@ AXISCADES Engg consolidated Sep '14 total income from operations at Rs 79.39 crore,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/axiscadesengineeringtechnologies/AXI
Tata Elxsi,623,395868,141821,189229,312643,4 star,24.12,1 star,,,19.11.2014@ Tata Elxsi: Outcome of committee meeting,http://www.moneycontrol.com/india/stockpricequote/computers-software/tataelxsi/TE
Tata Elxsi,623,395868,141821,189229,312643,4 star,24.12,1 star,,,19.11.2014@ Tata Elxsi: Outcome of committee meeting,http://www.moneycontrol.com/india/stockpricequote/computers-software/tataelxsi/TE
Surya Roshni,93.05,100820,60969,55893,61870,4 star,12.17,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/steel-tubespipes/suryaroshni/SR01
KRBL,96,165645,280835,214342,219453,3 star,11.27,1 star,,,21.11.2014@ Iran's ban on basmati may impact Indian paddy prices: KRBL,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/krbl/KRB01
Surya Roshni,93.05,100820,60969,55893,61870,4 star,12.17,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/steel-tubespipes/suryaroshni/SR01
KRBL,96,165645,280835,214342,219453,3 star,11.27,1 star,,,21.11.2014@ Iran's ban on basmati may impact Indian paddy prices: KRBL,http://www.moneycontrol.com/india/stockpricequote/foodprocessing/krbl/KRB01
Archidply Ind,39,104612,79415,81973,93671,4 star,1.82,1 star,Yes,,02.06.2014@ Archidply Ind standalone Mar '14 sales at Rs 64.75 crore,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/archidplyindustries/AI
Archidply Ind,39,104612,79415,81973,93671,4 star,1.82,1 star,Yes,,02.06.2014@ Archidply Ind standalone Mar '14 sales at Rs 64.75 crore,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/archidplyindustries/AI
Mandhana Ind,295.95,21514,82725,93153,47424,2 star,17.89,1 star,,,07.11.2014@ Mandhana Industries appoints Prashant Asher as additional director,http://www.moneycontrol.com/india/stockpricequote/textiles-general/mandhanaindustries/MI24
Sudarshan Chem,103.70,119388,108301,249051,117051,2 star,49.72,2 star,,,30.10.2014@ Sudarshan Chemicals to restructure operations,http://www.moneycontrol.com/india/stockpricequote/dyespigments/sudarshanchemicalindustries/SCI08
Sudarshan Chem,103.70,119388,108301,249051,117051,2 star,49.72,2 star,,,30.10.2014@ Sudarshan Chemicals to restructure operations,http://www.moneycontrol.com/india/stockpricequote/dyespigments/sudarshanchemicalindustries/SCI08
Mandhana Ind,295.95,21514,82725,93153,47424,2 star,17.89,1 star,,,07.11.2014@ Mandhana Industries appoints Prashant Asher as additional director,http://www.moneycontrol.com/india/stockpricequote/textiles-general/mandhanaindustries/MI24
Orient Refract,104.60,15105,137205,97883,69486,3 star,4.40,1 star,Yes,,13.11.2014@ Orient Refract standalone Sep '14 sales at Rs 117.76 crore,http://www.moneycontrol.com/india/stockpricequote/cement-productsbuildingmaterials/orientrefractories/OR01
AIA Engineering,1180.10,39510,138687,119373,78397,3 star,30.22,2 star,,,22.11.2014@ AIA Engineering's manufacturing agreement with Steelcast,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/aiaengineering/AIE01
AIA Engineering,1180.10,39510,138687,119373,78397,3 star,30.22,2 star,,,22.11.2014@ AIA Engineering's manufacturing agreement with Steelcast,http://www.moneycontrol.com/india/stockpricequote/engineering-heavy/aiaengineering/AIE01
Texmaco Rail,122.85,847542,2354478,2410619,1700124,2 star,0.93,1 star,,,24.11.2014@ 2400 wagons order to be executed by April 2015: Texmaco,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/texmacorailengineering/TRE
Texmaco Rail,122.85,847542,2354478,2410619,1700124,2 star,0.93,1 star,,,24.11.2014@ 2400 wagons order to be executed by April 2015: Texmaco,http://www.moneycontrol.com/india/stockpricequote/infrastructure-general/texmacorailengineering/TRE
Orient Refract,104.60,15105,137205,97883,69486,3 star,4.40,1 star,Yes,,13.11.2014@ Orient Refract standalone Sep '14 sales at Rs 117.76 crore,http://www.moneycontrol.com/india/stockpricequote/cement-productsbuildingmaterials/orientrefractories/OR01
VTM,25.75,5332,15179,14960,8535,3 star,2.81,1 star,Yes,,28.10.2014@ VTM standalone Sep '14 sales at Rs 46.44 crore,http://www.moneycontrol.com/india/stockpricequote/textiles-hosieryknitwear/vtm/VTM
VTM,25.75,5332,15179,14960,8535,3 star,2.81,1 star,Yes,,28.10.2014@ VTM standalone Sep '14 sales at Rs 46.44 crore,http://www.moneycontrol.com/india/stockpricequote/textiles-hosieryknitwear/vtm/VTM
Linde India,420,12474,34350,32092,19971,3 star,9.07,1 star,Yes,,29.10.2014@ Linde India standalone Sep '14 sales at Rs 374.67 crore,http://www.moneycontrol.com/india/stockpricequote/chemicals/lindeindia/BOC
Linde India,420,12474,34350,32092,19971,3 star,9.07,1 star,Yes,,29.10.2014@ Linde India standalone Sep '14 sales at Rs 374.67 crore,http://www.moneycontrol.com/india/stockpricequote/chemicals/lindeindia/BOC
Global Offshore,627.90,29541,115494,92456,55531,3 star,9.29,1 star,,,22.11.2014@ Global Offshore appoints Anil Devli as CEO,http://www.moneycontrol.com/india/stockpricequote/shipping/globaloffshoreservices/GOS
Global Offshore,627.90,29541,115494,92456,55531,3 star,9.29,1 star,,,22.11.2014@ Global Offshore appoints Anil Devli as CEO,http://www.moneycontrol.com/india/stockpricequote/shipping/globaloffshoreservices/GOS
Aegis Logistics,455,60023,125313,259611,100408,2 star,5.81,1 star,,,03.11.2014@ Aegis Logistics consider interim dividend,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9
Vaibhav Global,617,58564,267738,187256,73701,3 star,15.47,1 star,,,21.11.2014@ Expect 15-20% vol growth in next few years: Vaibhav Global,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/vaibhavglobal/VG02
Aegis Logistics,455,60023,125313,259611,100408,2 star,5.81,1 star,,,03.11.2014@ Aegis Logistics consider interim dividend,http://www.moneycontrol.com/india/stockpricequote/transportlogistics/aegislogistics/AL9
Nahar Spinning,101.15,68934,46419,55497,44581,4 star,40.41,2 star,Yes,,13.11.2014@ Nahar Spinning standalone Sep '14 sales at Rs 520.09 crore,http://www.moneycontrol.com/india/stockpricequote/textiles-hosieryknitwear/naharspinningmills/NSM
Nahar Spinning,101.15,68934,46419,55497,44581,4 star,40.41,2 star,Yes,,13.11.2014@ Nahar Spinning standalone Sep '14 sales at Rs 520.09 crore,http://www.moneycontrol.com/india/stockpricequote/textiles-hosieryknitwear/naharspinningmills/NSM
Vaibhav Global,617,58564,267738,187256,73701,3 star,15.47,1 star,,,21.11.2014@ Expect 15-20% vol growth in next few years: Vaibhav Global,http://www.moneycontrol.com/india/stockpricequote/miscellaneous/vaibhavglobal/VG02
Motor and Gen F,39.60,5,1751,1428,1557,3 star,1.69,1 star,,,20.10.2014@ Motor & General Finance: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/finance-leasinghirepurchase/motorgeneralfinance/MGF
Motor and Gen F,39.60,5,1751,1428,1557,3 star,1.69,1 star,,,20.10.2014@ Motor & General Finance: Outcome of board meeting,http://www.moneycontrol.com/india/stockpricequote/finance-leasinghirepurchase/motorgeneralfinance/MGF
Ganesh Housing,142.05,7458,33180,35764,20658,2 star,12.74,1 star,Yes,,31.05.2014@ Ganesh Housing consolidated Mar '14 sales at Rs 83.05 crore,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-housing/ganeshhousingcorporation/GHC02
Ganesh Housing,142.05,7458,33180,35764,20658,2 star,12.74,1 star,Yes,,31.05.2014@ Ganesh Housing consolidated Mar '14 sales at Rs 83.05 crore,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-housing/ganeshhousingcorporation/GHC02
Man Infra,34.15,3989794,6911769,3522851,1236532,3 star,5.77,1 star,,,25.11.2014@ Will launch 4-5 projects by Q3 end: Man Infraconstruction,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/maninfraconstruction/MI37
Onward Tech,58.30,2825,26625,23590,12189,3 star,3.94,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/onwardtechnologies/OT
Man Infra,34.15,3989794,6911769,3522851,1236532,3 star,5.77,1 star,,,25.11.2014@ Will launch 4-5 projects by Q3 end: Man Infraconstruction,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/maninfraconstruction/MI37
Amtek Auto,203.75,1519786,3162086,3140324,1895116,3 star,20.62,1 star,,,24.11.2014@ Amtek Auto to acquire firms in Europe South East Asia,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/amtekauto/AA01
Amtek Auto,203.75,1519786,3162086,3140324,1895116,3 star,20.62,1 star,,,24.11.2014@ Amtek Auto to acquire firms in Europe South East Asia,http://www.moneycontrol.com/india/stockpricequote/autoancillaries/amtekauto/AA01
Onward Tech,58.30,2825,26625,23590,12189,3 star,3.94,1 star,,,No news,http://www.moneycontrol.com/india/stockpricequote/computers-softwaremediumsmall/onwardtechnologies/OT
KPR Mill,328.20,32144,80170,90424,74934,2 star,34.37,2 star,,BUY,04.09.2014@ Buy KPR Mill; target of Rs 286: Firstcall,http://www.moneycontrol.com/india/stockpricequote/textiles-readymadeapparels/kprmill/M15
KPR Mill,328.20,32144,80170,90424,74934,2 star,34.37,2 star,,BUY,04.09.2014@ Buy KPR Mill; target of Rs 286: Firstcall,http://www.moneycontrol.com/india/stockpricequote/textiles-readymadeapparels/kprmill/M15
RPP Infra Proj,139.45,94080,15064,40083,40965,4 star,5.00,1 star,,,17.11.2014@ RPP Infra Projects bags Rs 87 cr hydro electric project,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/rppinfraprojects/RIP01
RPP Infra Proj,139.45,94080,15064,40083,40965,4 star,5.00,1 star,,,17.11.2014@ RPP Infra Projects bags Rs 87 cr hydro electric project,http://www.moneycontrol.com/india/stockpricequote/constructioncontracting-civil/rppinfraprojects/RIP01
Berger Paints,381.25,392386,419228,353703,359763,3 star,6.76,1 star,Yes,,05.11.2014@ Berger Paints consolidated Sep '14 sales at Rs 1104.15 crore,http://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/bergerpaintsindia/BPI02
