Symbol,Price,Ask,Day Range,Day Low,Day High,52 wk Low,52 wk High,Change from 50 days,Change from 200 days,Last Trade Date,Commission,AMUM Proj,Yahoo Rating,CNN Rating,The Street Rating,Market Watch
"COVR",1.30,1.33,"1.27 - 1.38",1.27,1.38,1.00,1.72,-0.1018,-0.0022,"7/5/2013",-0.08,amum proj,Strong Buy,Buy,Sell,Strong Buy
"INS",1.16,1.55,"0.9989 - 1.22",0.9989,1.22,1.00,1.97,-0.1435,-0.1993,"7/5/2013",-0.06,amum proj,No Opinion,No Opinion,Strong Hold,No Opinion
"CUR",1.48,1.58,"1.44 - 1.50",1.44,1.50,0.42,1.96,+0.0271,+0.2239,"7/5/2013",+0.02,amum proj,Hold,Buy,Sell,Hold
"RPI",1.25,1.43,"1.25 - 1.25",1.25,1.25,1.06,1.66,+0.0297,-0.0091,"7/5/2013",-0.0083,amum proj,No Opinion,No Opinion,Sell,No Opinion
"GIG",1.22,1.73,"1.21 - 1.31",1.21,1.31,0.83,2.70,-0.1541,-0.0957,"7/5/2013",0.00,amum proj,No Opinion,No Opinion,Sell,Strong Buy
"SILU",1.19,1.27,"1.18 - 1.23",1.18,1.23,1.18,1.60,-0.1997,-0.2357,"7/5/2013",-0.03,amum proj,No Opinion,Buy,Sell,Hold
"AXU",1.13,2.79,"1.04 - 1.22",1.04,1.22,0.90,4.73,-0.2135,-1.6826,"7/5/2013",-0.10,amum proj,Hold,No Opinion,Sell,Hold
"PAL",1.03,1.04,"1.03 - 1.06",1.03,1.06,0.91,2.28,-0.0497,-0.3577,"7/5/2013",-0.01,amum proj,Sell,Buy,Sell,Hold
"RIC",1.41,3.40,"1.37 - 1.42",1.37,1.42,1.31,5.50,-0.3015,-0.9953,"7/5/2013",-0.04,amum proj,Buy,Buy,No Opinion,Buy
"IGC",1.43,1.87,"1.40 - 1.56",1.40,1.56,1.10,3.50,-0.4606,-0.4992,"7/5/2013",-0.10,amum proj,No Opinion,No Opinion,Sell,No Opinion
"MEA",1.26,1.56,"1.25 - 1.27",1.25,1.27,1.15,2.90,-0.1691,-0.4232,"7/5/2013",-0.03,amum proj,Hold,No Opinion,Sell,Hold
"RBY",1.14,2.49,"1.13 - 1.21",1.13,1.21,1.13,3.92,-0.4203,-0.8864,"7/5/2013",-0.11,amum proj,Hold,Buy,No Opinion,Buy
"IG",1.43,1.65,"1.32 - 1.43",1.32,1.43,0.98,2.25,-0.0315,+0.0191,"7/5/2013",0.00,amum proj,No Opinion,No Opinion,Sell,No Opinion
"RCG",1.46,2.12,"1.45 - 1.68",1.45,1.68,1.26,1.83,-0.0668,-0.0622,"7/5/2013",+0.01,amum proj,No Opinion,No Opinion,No Opinion,No Opinion
"NBY",1.33,1.47,"1.31 - 1.35",1.31,1.35,1.05,1.76,+0.0168,+0.0342,"7/5/2013",+0.01,amum proj,Strong Buy,Buy,Sell,Strong Buy
"AUMN",1.34,1.73,"1.34 - 1.42",1.34,1.42,1.26,7.22,-0.2612,-1.2715,"7/5/2013",-0.09,amum proj,Sell,Buy,Sell,Hold
"GBR",1.20,1.45,"1.18 - 1.20",1.18,1.20,0.79,1.92,+0.105,-0.0987,"7/5/2013",+0.09,amum proj,No Opinion,No Opinion,Sell,No Opinion
"ADGE",1.31,1.33,"1.31 - 1.46",1.31,1.46,1.18,2.70,-0.21,-0.6249,"7/5/2013",-0.09,amum proj,No Opinion,No Opinion,Sell,No Opinion
"LEI",1.35,2.21,"1.3099 - 1.44",1.3099,1.44,0.95,2.54,+0.0429,-0.0204,"7/5/2013",+0.04,amum proj,No Opinion,No Opinion,Sell,No Opinion
"AAU",1.38,1.60,"1.36 - 1.408",1.36,1.408,1.10,3.30,-0.1888,-0.7343,"7/5/2013",-0.05,amum proj,No Opinion,No Opinion,Sell,No Opinion
"EMXX",1.20,1.54,"1.14 - 1.24",1.14,1.24,1.01,2.61,-0.2341,-0.5667,"7/5/2013",-0.0405,amum proj,No Opinion,No Opinion,No Opinion,No Opinion
"UAMY",1.10,1.72,"1.09 - 1.14",1.09,1.14,0.96,3.90,-0.1197,-0.5565,"7/5/2013",-0.05,amum proj,Strong Buy,Buy,Sell,Strong Buy
